Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Подкласс 5,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Код класса по KKS,Примечания,Синонимы
,,,,,,EDD150,Скамья-цветочница,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,,ЭЛ 40 60 10 33,,,
,,,,,,EDD160,Стенд информационный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,25.11.23.119.15.2.01.07-1000,,,,
,,,,,,EDD170,Стенд навигационный,,,,,,,,,
,,,,,,EDD180,Стол,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,,ЭЛ 40 60 10 23,,,
,,,,,,EDD190,Стол-скамья,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,,"ЭЛ 40 60 10 23
ЭЛ 40 60 10 33",,,
,,,,,,EDD200,Стол с двумя скамьями,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,,"ЭЛ 40 60 10 23
ЭЛ 40 60 10 33",,,
,,,,,,EDD210,Скамья-шезлонг,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,,ЭЛ 40 60 10 33,,,
,,,,,,EDD220,Теневой навес,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,25.11.23.119.15.1.02.27-1006,,,,
,,,,,,EDD230,Указатель,Устройство для передачи сигнала,ГОСТ Р ИСО 6707-1-2020,,,,,,,
,,,,,,EDD240,Установка для внутренней экспозиции,,,,,,,,,
,,,,,,EDD250,Урна,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,15.2.03.06,,,,
,,,,,,EDD260,Урна для раздельного сбора мусора,,,,,,,,,
,,,,,,EDD270,Фигурный душ,,,,,,,,,
,,,,,,EDD280,Шезлонг,,,,,,,,,
,,,,,,EDD290,Щит рекламный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,15.2.01.07,,,,
,,,,,,EDD300,Щит-указатель,,,,,,,,,
,,,,,,EDD310,Ящики почтовые,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,08.1.02.24,ЭЛ 40 50 60 70,,,
,,EDE,,,,,Велоинфрастуктура,,,,,,,,,
,,,,,,EDE010,Стойка для велосипедов,,,,,,,,,
,,,,,,EDE020,Столбики парковочные,,,,,,,,,
,,,,,,EDE030,Навес для велопарковки,,,,,,,,,
,,EDF,,,,,Декоративные малые архитектурные формы (маф),,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,,ЭЛ 30 29 25,,,
,,,EDFA,,,,Фонтаны,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,15.2.03.07,,,,
,,,,,,EDFA010,Питьевые фонтанчики,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,25.99.11.191.18.2.06.12-0041,,,,
,,,,,,EDFA020,Сухой фонтан,,,,,,,,,
,,,,,,EDFA030,Струйный фонтан,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,15.2.03.07,,,,
,,,EDFB,,,,Скульптуры,,,,,,,,,
,,,EDFC,,,,Арт-объекты,,,,,,,,,
,,EDG,,,,,Элементы паркового благоустройства,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"15.2.03
",,,,
,,,,,,EDG010,Вазон уличный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,15.2.03.01,,,,
,,,,,,EDG020,Арка для парка,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,25.11.23.119.15.2.03.08-1000,ЭЛ 30 16 10,,,
,,,,,,EDG030,Цветочницы,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,15.2.03.08,,,,
,,,,,,EDG040,Трельяжи,,,,,,,,,
,,,,,,EDG050,Пергола-козырек,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"16.23.19.000.15.2.03.03-1014 25.11.23.119.15.2.03.03-1016 25.11.23.119.15.2.03.03-1018 25.11.23.119.15.2.03.03-1020
22.23.19.000.15.2.03.03-1022",,,,
,,,,,,EDG060,Пергола-беседка,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,16.23.19.000.15.2.03.03-1000 16.23.19.000.15.2.03.03-1002 25.11.23.119.15.2.03.03-1004 25.11.23.119.15.2.03.03-1006 25.11.23.119.15.2.03.03-1008 25.11.23.119.15.2.03.03-1010 25.11.23.119.15.2.03.03-1012,,,,
,,,,,,EDG070,Пергола-трельяж,,,,,,,,,
,,,,,,EDG080,Пергола радиусная,,,,,,,,,
,,,,,,EDG090,Беседка-шатер,,,,,,,,,
,,,,,,EDG100,Пергола-навес,,Приказ Минстроя России от 02.03.2017 N 597/пр,,,"59.1.15.02-0467
59.1.15.02-0468
59.1.15.02-0469
59.1.15.02-0470
59.1.15.02-0471",,,,
,,,,,,EDG110,Пергола-скамейка,,Приказ Минстроя России от 02.03.2017 N 597/пр,,,"59.1.15.02-0472
59.1.15.02-0473",,,,
,,,,,,EDG120,Пергола-тент,,Приказ Минстроя России от 02.03.2017 N 597/пр,,,"59.1.15.02-0474
59.1.15.02-0475",,,,
,,,,,,EDG130,Пергола-туннель,,Приказ Минстроя России от 02.03.2017 N 597/пр,,,"59.1.15.02-0476
59.1.15.02-0477
59.1.15.02-0478
59.1.15.02-0479
59.1.15.02-0480",,,,
,,,,,,EDG140,Пергола-ширма,,Приказ Минстроя России от 02.03.2017 N 597/пр,,,"59.1.15.02-0481
59.1.15.02-0482
59.1.15.02-0483
59.1.15.02-0484",,,,
,EE,,,,,,Элементы городского благоустройства,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"15.2.01
",,,,
,,EEA,,,,,Киоски,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,15.2.01.01,,,,
,,EEB,,,,,Комплексы торгово-остановочные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,15.2.01.02,,,,
,,EEC,,,,,Опоры стальные трубные,,,,,15.2.01.03,,,,
,,EED,,,,,Павильоны остановочные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,15.2.01.05,,,,
,,EEE,,,,,Приствольная решетка,,,,,,,,,
,,EEF,,,,,Садовый бордюр,,,,,,,,,
,EF,,,,,,Ограждения,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,,ЭЛ 30 12,,,
,,EFA,,,,,Плиты заборные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,05.1.07.18,,,,
,,EFB,,,,,Щиты забора,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,11.2.13.03,,,,
,,EFC,,,,,Полусферы,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,15.2.02.01,,,,
,,EFD,,,,,Ограждения для пешеходов,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,01.5.02.02,,,,
,,EFE,,,,,Ограждение цветников,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,01.5.02.02,,,,
,,EFF,,,,,Ограждение спортивных площадок,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,01.5.02.02,,,,
,,EFG,,,,,Ограждение хоккейного поля,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,01.5.02.02,,,,
,,EFH,,,,,Секции ограждений,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,15.2.02.04,,,,
,,EFJ,,,,,Решетки ограждений,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,15.2.02.03,,,,
,,EFK,,,,,Панели оград,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,05.1.07.13,,,,
,,EFL,,,,,Тумбы и надолбы,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,15.2.02.05,,,,
,,EFM,,,,,Элементы ограждения самостоящие,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,15.2.02.06,,,,
,,EFN,,,,,Столбы оград,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,05.1.07.27,,,,
,,EFP,,,,,Ворота,"Подвижная ограждающая конструкция, предназначенная для обеспечения функциональной связи между двумя смежными пространствами (помещениями, территориями)","ГОСТ 31174-2017
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,08.1.06.01,ЭЛ 30 18 20,,,
,,EFQ,,,,,Полотна ворот,"Подвижная составляющая часть ворот, состоящая из металлического рамного каркаса, имеющая щитовую, секционную или рулонную конструкцию, соединенную с жестко закрепленными несущими элементами обрамления стенового проема (или других ограждающих элементов) посредством шарнирной или скользящих механических связей","ГОСТ 31174-2017
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,08.1.06.04,,,,
,,EFR,,,,,Полотна калиток,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,08.1.06.05,,,,
,,EFS,,,,,Боносетевые заграждения,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,08.1.06.06,,,,
,,EFT,,,,,Крышки бетонные для блоков облицовочных для оград,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,05.2.02.17,,,,
,EG,,,,,,Изделия для устройства водоемов,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"16.1.01
",,,,
,,EGA,,,,,Емкости для искусственного пруда,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,16.1.01.01,ЭЛ 40 50 10 24,,,
,,EGB,,,,,Шланги спиральные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,16.1.01.03,,,,
F,,,,,,,Специзделия для железнодорожного строительства,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),По виду железнодорожного строительства и типу материала,,"25
",,,,
,FA,,,,,,Изделия железобетонные для железных дорог,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,25.1.02,,,,
,,FAA,,,,,Шпалы и полушпалы железобетонные,,,,,,,,,
,,,,,,FAA010,Шпала железобетонная,"Брус специального профиля и армирования, изготовленный из напряженного железобетона, предназначенный для опирания рельсов в железнодорожном пути.
","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
ГОСТ 33320-2015 ",,,"23.61.12.163.25.1.02.01-0021
23.61.12.163.25.1.02.01-0022
23.61.12.163.25.1.02.01-0023
23.61.12.163.25.1.02.01-0031
23.61.12.163.25.1.02.01-0032
23.61.12.163.25.1.02.01-0033
23.61.12.163.25.1.02.01-0034
23.61.12.163.25.1.02.01-0035
23.61.12.163.25.1.02.01-0036
23.61.12.163.25.1.02.01-1000
23.61.12.163.25.1.02.01-1002
23.61.12.163.25.1.02.01-1004
23.61.12.163.25.1.02.01-1006
23.61.12.163.25.1.02.01-1016
23.61.12.163.25.1.02.01-1018
23.61.12.163.25.1.02.01-1020
23.61.12.163.25.1.02.01-1024
23.61.12.163.25.1.02.01-1026
23.61.12.163.25.1.02.01-1028
23.61.12.163.25.1.02.01-1030
23.61.12.163.25.1.02.01-1032
23.61.12.163.25.1.02.01-1034
23.61.12.163.25.1.02.01-1036
23.61.12.163.25.1.02.01-1038
23.61.12.163.25.1.02.01-1040
23.61.12.163.25.1.02.01-1042",,,,
