Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Примечания
,,AEP,,,Перегружатель асфальтовой смеси,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.30.91.08.11-031,
,,AEQ,,,Разогреватель швов инфракрасный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.30.91.08.11-041,
,,AER,,,Ремиксер,Машина для переработки старого асфальта,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.30.91.08.11-051,Определение синтезировано
,,AES,,,Ресайклер-стабилизатор грунта,"Дорожная машина, предназначенная для укрепления (стабилизации) и регенерации верхнего слоя грунта и одежд дорожного полотна.",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.30.91.08.11-061,Определение синтезировано
,,AET,,,Стабилизатор,Машина для стабилизации грунта,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.30.91.08.11-071,Определение синтезировано
,,AEU,,,Установка для терморисайклинга дорожного покрытия,Установка для горячей регенерации (терморисайклинга) асфальтобетонного покрытия,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.30.91.08.11-091,Определение синтезировано
,,AEV,,,Установка для транспортировки литого асфальтобетона,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.30.91.08.11-101,
,,AEW,,,Машина для разрушения цементнобетонного покрытия дорог и аэродромов виброрезонансным методом,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.30.91.08.11-111,
,,AEX,,,Кохер для перевозки мостового литого асфальта,"Специализированная дорожно-строительная техника предназначенная для приготовления и/или транспортировки литых асфальтобетонных смесей, а также других термопластичных материалов (мастики, пасты, битумосодержащих композиционных смесей) используемых в процессе асфальтирования и ремонта дорог",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.30.91.08.11-514,Определение синтезировано
,,AEY,,,Машина демаркирующая,"Фрезеровочная машина для быстрого механического удаления краски, термопластика и дорожных плёнок с дорожной поверхности",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,29.10.59.91.08.11-518,Определение синтезировано
,AF,,,,Машины для железнодорожного строительства,"Вид специального подвижного состава, имеющий один или несколько рабочих органов, выполняющих работы по строительству, всем видам ремонтов, содержанию и обслуживанию сооружений и устройств железных дорог",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),Назначение (функция) машины,,91.09,Определение синтезировано
