Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Подкласс 5,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Код класса по КСР,Код класса по МССК,Примечания,Примечания
,,,,ACACA,,,Кирпич одинарный керамический,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"23.32.11.110.06.1.01.05-0031
23.32.11.110.06.1.01.05-0032
23.32.11.110.06.1.01.05-0033
23.32.11.110.06.1.01.05-0034
23.32.11.110.06.1.01.05-0035
23.32.11.110.06.1.01.05-0036
23.32.11.110.06.1.01.05-0037
23.32.11.110.06.1.01.05-0038
23.32.11.110.06.1.01.05-0039
23.32.11.110.06.1.01.05-0040
23.32.11.110.06.1.01.05-0041
23.32.11.110.06.1.01.05-0051
23.32.11.110.06.1.01.05-0052
23.32.11.110.06.1.01.05-0053
23.32.11.110.06.1.01.05-0054
23.32.11.110.06.1.01.05-0055
23.32.11.110.06.1.01.05-0056
23.32.11.110.06.1.01.05-0057
23.32.11.110.06.1.01.05-0058
23.32.11.110.06.1.01.05-0059
23.32.11.110.06.1.01.05-0060
23.32.11.110.06.1.01.05-0061
23.32.11.110.06.1.01.05-0110
23.32.11.110.06.1.01.05-0111
23.32.11.110.06.1.01.05-0112
23.32.11.110.06.1.01.05-0113
23.32.11.110.06.1.01.05-0114
23.32.11.110.06.1.01.05-0115
23.32.11.110.06.1.01.05-0116
23.32.11.110.06.1.01.05-0117
23.32.11.110.06.1.01.05-0171
23.32.11.110.06.1.01.05-0172
23.32.11.110.06.1.01.05-0173
23.32.11.110.06.1.01.05-0174",,,
,,,,ACACB,,,Кирпич евро керамический,,,,,,,
,,,,ACACC,,,Кирпич утолщенный керамический,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"23.32.11.110.06.1.01.05-0091
23.32.11.110.06.1.01.05-0092
23.32.11.110.06.1.01.05-0093
23.32.11.110.06.1.01.05-0094
23.32.11.110.06.1.01.05-0095
23.32.11.110.06.1.01.05-0096
23.32.11.110.06.1.01.05-0097
23.32.11.110.06.1.01.05-0098
23.32.11.110.06.1.01.05-0099
23.32.11.110.06.1.01.05-0100
23.32.11.110.06.1.01.05-0101
23.32.11.110.06.1.01.05-0121
23.32.11.110.06.1.01.05-0122
23.32.11.110.06.1.01.05-0123
23.32.11.110.06.1.01.05-0124
23.32.11.110.06.1.01.05-0125
23.32.11.110.06.1.01.05-0126
23.32.11.110.06.1.01.05-0127
23.32.11.110.06.1.01.05-0128
23.32.11.110.06.1.01.05-0129
23.32.11.110.06.1.01.05-0130
23.32.11.110.06.1.01.05-0131
23.32.11.110.06.1.01.05-0141
23.32.11.110.06.1.01.05-0142
23.32.11.110.06.1.01.05-0143
23.32.11.110.06.1.01.05-0144",,,
,,,,ACACD,,,Кирпич модульный одинарный керамический,,,,,,,
,,,,ACACE,,,Кирпич утолщенный керамический с горизонтальными пустотами,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"23.32.11.110.06.1.01.05-0071
23.32.11.110.06.1.01.05-0072
23.32.11.110.06.1.01.05-0073
23.32.11.110.06.1.01.05-0074
23.32.11.110.06.1.01.05-0075
23.32.11.110.06.1.01.05-0076
23.32.11.110.06.1.01.05-0077
23.32.11.110.06.1.01.05-0078
23.32.11.110.06.1.01.05-0079
23.32.11.110.06.1.01.05-0080
23.32.11.110.06.1.01.05-0081",,,
,,,,ACACF,,,Камень керамический,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"06.1.01.01
06.1.01.02
06.1.01.03
06.1.01.11",,,
,,,,ACACG,,,Камень крупноформатный керамический,,,,,,,
,,,,ACACH,,,Камень керамический с горизонтальными пустотами,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"23.32.11.110.06.1.01.03-0074
23.32.11.110.06.1.01.03-0075
23.32.11.110.06.1.01.03-0076
23.32.11.110.06.1.01.03-0077",,,
,,,,ACACJ,,,Кирпич огнеупорный,,ГОСТ 8691-2018,,,,,
,,,ACAD,,,,Блок для стеновых конструкций,,,,,,,
,,,,ACADA,,,Блоки стеновые бетонные и железобетонные для зданий,,ГОСТ 19010-82,,,,,
,,,,,ACADAA,,Блок для наружных стен,,,,,,,
,,,,,ACADAB,,Блок для внутренних стен,,,,,,,
,,,,ACADB,,,Изделие стеновое неармированные из ячеистого бетона автоклавного твердения,"Изделие, изготовленное из ячеистого конструкционно-теплоизоляционного бетона автоклавного твердения, предназначенное для применения в качестве несущего и самонесущего элемента в наружных стенах зданий и сооружений с сухим, нормальным и влажным режимами эксплуатации при неагрессивной среде, а также для внутренних стен и перегородок в помещениях с относительной влажностью воздуха не более 75% и неагрессивной средой",ГОСТ 31360-2007,,,,Определение синтезировано,
,,,,ACADC,,,Блок из ячеистого бетона стеновой мелкий,"Изделие из ячеистого бетона с прямоугольным, как правило, поперечным сечением и толщиной, незначительно меньшей его ширины, предназначенное для кладки наружных, внутренних стен и перегородок зданий с относительной влажностью воздуха помещений не более 75% и при неагрессивной среде","ГОСТ 31360-2007
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,23.61.11.190.05.2.02.09-1000,СТ 10 14 20 03,Определение синтезировано,
,,,,ACADD,,,Блоки и плиты перегородочные силикатные,,ГОСТ 379-2015,,,,,
,,,,ACADE,,,Блок керамзитобетонный стеновой,,"ГОСТ 33126-2014
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,"23.61.11.190.05.2.02.06-0003
23.61.11.190.05.2.02.06-0004
23.61.11.190.05.2.02.06-1004
23.61.11.190.05.2.02.06-1006",,,
,,,,ACADF,,,Блок керамзитогипсовый стеновой,,ГОСТ Р 56591-2015,,,,,
,,,,,ACADFA,,Блок керамзитогипсовый рядовой,,,,,,,
,,,,,ACADFB,,Блок керамзитогипсовый лицевой,,,,,,,
,,,,ACADJ,,,Блок стеновой полистиролбетонный,,"СП 434.1325800.2018
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,05.2.02.10,,,
,,,,ACADK,,,Блок стеклянный пустотелый,,"ГОСТ 9272-2017
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,23.19.12.111.01.8.01.01-0022,,,
,,,ACAE,,,,Перемычка,"Конструктивный элемент - балка, перекрывающий оконный или дверной проемы в стене и воспринимающий нагрузку от вышерасположенной конструкции","ГОСТ 948-2016
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,ЭЛ 30 16 45,,
,,,,ACAEA,,,Перемычка железобетонная для зданий с кирпичными стенами,"Железобетонная балка, применяемая для перекрытия оконного или дверного проемов в стене и воспринимающая нагрузку от вышерасположенной конструкции",ГОСТ 948-2016,,,,,
