Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Подкласс 5,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Код класса по КСР,Код класса по МССК,Примечания,Примечания
,,,,ACAEB,,,Перемычка армированная надпроемная полистиролбетонная,"Армированное изделие из полистиролбетона плотностью 250 - 500 кг/м3, предназначенное для перекрытия оконных или дверных проемов в наружных стенах","СП 434.1325800.2018
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,23.69.19.000.12.2.05.06-1000,,,
,,,ACAF,,,,Подушка опорная железобетонная,"Сборное железобетонное изделие, предназначенное для опирания стропильных конструкций на каменные стены жилых, общественных и производственных зданий",Серия 1.069.1-1,,,,Определение синтезировано,
,,ACB,,,,,"Наружные и внутренние стены, перегородки",,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,"ЭЛ 30 10 15
ЭЛ 30 10 20",,
,,,ACBA,,,,Панели стеновые наружные бетонные и железобетонные для жилых и общественных зданий,"Однослойные и двухслойные бетонные и железобетонные панели, изготовляемые из легкого бетона на пористых заполнителях и тяжелого бетона и предназначенные для наружных стен жилых и общественных зданий","ГОСТ 11024-2012
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"05.1.04.08
23.61.12.131.05.1.04.15-0051
23.61.12.131.05.1.04.15-0052",СТ 20 10 10,Определение синтезировано,
,,,,ACBAA,,,Панель стеновая наружная для надземных этажей,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,05.1.04.08,СТ 20 10 10 10,,
,,,,ACBAB,,,Панель стеновая наружная для цокольного этажа или технического подполья,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"05.1.04.09
05.1.04.10
05.1.04.11
23.61.12.132.05.1.04.04-1050
23.61.12.132.05.1.04.04-1051
",СТ 20 10 10 20,,
,,,,ACBAC,,,Панель стеновая наружная для чердака,,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,СТ 20 10 10 30,,
,,,ACBB,,,,Панели из автоклавных ячеистых бетонов для наружных стен зданий,,ГОСТ 11118-2009,,,,,
,,,,ACBBA,,,Панель из автоклавного ячеистого бетона для надземных рядовых этажей,,,,,,,
,,,,ACBBB,,,Панель из автоклавного ячеистого бетона для цокольного этажа и технического подполья,,,,,,,
,,,,ACBBC,,,Панель из автоклавного ячеистого бетона для чердака и мансарды,,,,,,,
,,,,ACBBD,,,Панель из автоклавного ячеистого бетона для общественных и производственных зданий,,,,,,,
,,,ACBC,,,,Панели стеновые трехслойные железобетонные с эффективным утеплителем,"Цельное плоскостное строительное изделие, состоящее из трех основных слоев - наружного, внутреннего и теплоизоляционного, цельность конструкции которого создается в процессе формования, предназначенное для наружных стен жилых, общественных и производственных зданий","ГОСТ 31310-2015
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,"23.61.12.131.05.1.04.22-0200
24.33.30.000.07.2.05.02-0173",,Определение синтезировано,
,,,,ACBCA,,,Панель стеновая трехслойная для надземных этажей,,,,,,,
,,,,ACBCB,,,Панель стеновая трехслойная для цокольного этажа или технического подполья,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,05.1.04.21,,,
,,,,ACBCC,,,Панель стеновая трехслойная для чердака,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,05.1.04.22,,,
,,,ACBD,,,,Панели из легкого бетона на пористых заполнителях для наружных стен производственных зданий,,ГОСТ 13578-2019,,,,,
,,,,ACBDA,,,Панели из легкого бетона на пористых заполнителях стен надземных этажей,,,,,,,
,,,,ACBDB,,,Панели из легкого бетона на пористых заполнителях стен цокольного этажа или технического подполья,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,05.1.04.10,,,
,,,,ACBDC,,,Панели из легкого бетона на пористых заполнителях стен чердака или парапетные,,,,,,,
,,,ACBE,,,,Панели стеновые наружные железобетонные из керамзитобетона для жилых и общественных зданий,,ГОСТ 32488-2013,,,,,
,,,,ACBEA,,,Панель из керамзитобетона для надземных этажей,,,,,,,
,,,,ACBEB,,,Панель из керамзитобетона для цокольного этажа или технического подполья,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,05.1.04.09,,,
,,,,ACBEC,,,Панель из керамзитобетона для парапета,,,,,,,
,,,ACBF,,,,Панели внутренних стен рядовые железобетонные,,"ГОСТ 12504-2015
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,05.1.04.08,,,
,,,,ACBFA,,,Панель стеновая надземных этажей несущая,,,,,,,
,,,,ACBFB,,,Панель стеновая надземных этажей ненесущая,,,,,,,
,,,,ACBFC,,,Панель стеновая подвального и цокольного этажей или технического подполья несущая,,,,,,,
,,,,ACBFD,,,Панель стеновая подвального и цокольного этажей или технического подполья ненесущая,,,,,,,
,,,,ACBFE,,,Панель стеновая чердака несущая,,,,,,,
,,,,ACBFF,,,Панель стеновая чердака ненесущая,,,,,,,
,,,ACBG,,,,Панели стеновые металлические трехслойные с утеплителем из минеральной ваты (трехслойные сэндвич-панели),,ГОСТ 32603-2012,,,,,
,,,,ACBGA,,,Панель стеновая угловая металлическая трехслойная с утеплителем из минеральной ваты (трехслойные сэндвич-панели),,,,,,,
,,,ACBH,,,,Панели перегородок железобетонные для зданий промышленных и сельскохозяйственных предприятий,,ГОСТ 25098-2016,,,,,
,,,ACBJ,,,,Плиты перегородочные силикатные,,ГОСТ 379-2015,,,,,
,,,ACBK,,,,Плиты гипсовые пазогребневые для перегородок,"Плита в форме прямоугольного параллелепипеда, имеющая на двух противоположных стыковых опорных поверхностях паз или гребень,  изготовляемая из гипсового вяжущего с минеральными, органическими добавками или без них и применяемая для устройства ненесущих перегородок, ограждающих конструкций и противопожарной защиты колонн, лифтовых и вспомогательных шахт в зданиях различного назначения","ГОСТ 6428-2018
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,СТ 10 07 35,Определение синтезировано,
,,,ACBL,,,,Панели гипсобетонные для перегородок,,ГОСТ 9574-2018,,,,,
,,,ACBM,,,,Панели оконные стальные из горячекатаных и гнутых профилей для производственных зданий,,ГОСТ 21096-75,,,,,
,,,ACBN,,,,Кабины санитарно-технические железобетонные,,ГОСТ 18048-2018,,,,,
,,ACC,,,,,Светопрозрачное заполнение,,,,,,,
,,,ACCA,,,,Стекло,"Аморфное тело, получаемое путем переохлаждения расплава независимо от его химического состава и температурной области затвердевания и обладающее в результате постепенного увеличения вязкости механическими свойствами твердых тел, причем процесс перехода из жидкого состояния в стеклообразное должен быть обратимым","ГОСТ 7481-2013
ГОСТ 30698-2014
ГОСТ EN 14179-1-2015
ГОСТ 33087-2014
ГОСТ 5533-2013
ГОСТ 9411-91
ГОСТ 32559-2013
ГОСТ 33891-2016
ГОСТ 32563-2013
ГОСТ 30733-2014
ГОСТ 33017-2014
ГОСТ 33086-2014
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"01.8.02
","СТ 00 70
СТ 10 10 60",,
