Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по ГЭСН,Примечания
,,,BBTP,,,Раскрой полиэтилена на полосы,,ГЭСНр 81-02-53-2020,,,,
,,,BBTQ,,,Приварка полос,,ГЭСНр 81-02-53-2020,,,,
,,,BBTR,,,Проверка качества швов дефектоскопом,,ГЭСНр 81-02-53-2020,,,,
,,,BBTS,,,Установка уплотнительных прокладок,,ГЭСНр 81-02-53-2020,,,,
,,,BBTT,,,Заполнение шва,,ГЭСНр 81-02-53-2020,,,,
,,,BBTU,,,Зачеканка устья,,ГЭСНр 81-02-53-2020,,,,
,,,BBTV,,,Затирка полимерцементным раствором,,ГЭСНр 81-02-53-2020,,,,
,,,BBTW,,,Очистка граней и фасок панелей,,ГЭСНр 81-02-53-2020,,,,
,,,BBTX,,,Огрунтовка поверхностей (праймирование) стыка,,ГЭСНр 81-02-53-2020,,,,
,,,BBTY,,,Приготовление герметизирующей мастики,,ГЭСНр 81-02-53-2020,,,,
,,BBU,,,,Временная разгрузка каменных конструкций деревянными стойками из бревен,,ГЭСНр 81-02-53-2020,По виду работ,,ГЭСНр 53-22,
,,,BBUA,,,Заготовка деревянных стоек для временной разгрузки каменных конструкций,,ГЭСНр 81-02-53-2020,,,,
,,,BBUB,,,Установка стоек с креплением для временной разгрузки каменных конструкций,,ГЭСНр 81-02-53-2020,,,,
,,BBV,,,,Перекладка карнизов,,ГЭСНр 81-02-53-2020,По виду работ,,ГЭСНр 53-23,
,,,BBVA,,,Разборка кирпичной кладки при перекладке карнизов,,ГЭСНр 81-02-53-2020,,,,
,,,BBVB,,,Кладка карниза с перевязкой со старой кладкой при перекладке карнизов,,ГЭСНр 81-02-53-2020,,,,
,,,BBVC,,,Укладка карнизных плит с заделкой борозд и швов при перекладке карнизов,,ГЭСНр 81-02-53-2020,,,,
,,,BBVD,,,Установка анкеров и крепление карнизных плит при перекладке карнизов,,ГЭСНр 81-02-53-2020,,,,
,,BBW,,,,Устройство горизонтальной гидроизоляции кирпичных стен ремонтируемых зданий методом инъецирования,,ГЭСНр 81-02-53-2020,По виду работ,,ГЭСНр 53-24 ,
,,,BBWA,,,Разметка отверстий в стенах при методе инъецирования,,ГЭСНр 81-02-53-2020,,,,
,,,BBWB,,,Заделка отверстий в стенах при методе инъецирования,,ГЭСНр 81-02-53-2020,,,,
,,,BBWC,,,Сверление отверстий в стенах при методе инъецирования,,ГЭСНр 81-02-53-2020,,,,
,,,BBWD,,,Сушка стен до инъецирования раствора,,ГЭСНр 81-02-53-2020,,,,
,,,BBWE,,,Инъецирование раствора в кладку стен,,ГЭСНр 81-02-53-2020,,,,
,,,BBWF,,,Сушка стен после инъецирования раствора,,ГЭСНр 81-02-53-2020,,,,
,,BBX,,,,Устройство металлических перемычек в стенах существующих зданий,,ГЭСНр 81-02-53-2020,По виду работ,,ГЭСНр 53-25 ,
,,,BBXA,,,"Пробивка гнезд, борозд, отверстий при устройстве металлических перемычек в стенах существующих зданий",,ГЭСНр 81-02-53-2020,,,,
,,,BBXB,,,Заготовка металлических элементов при устройстве металлических перемычек в стенах существующих зданий,,ГЭСНр 81-02-53-2020,,,,
,,,BBXC,,,Установка металлических элементов при устройстве металлических перемычек в стенах существующих зданий,,ГЭСНр 81-02-53-2020,,,,
,,,BBXD,,,Заделка гнезд и борозд при устройстве металлических перемычек в стенах существующих зданий,,ГЭСНр 81-02-53-2020,,,,
,BC,,,,,Капитальный ремонт перекрытий,,ГЭСНр 81-02-54-2020,По виду работ,,,
,,BCA,,,,Разборка перекрытий по стальным балкам с междубалочным заполнением из бетонных сводиков,,ГЭСНр 81-02-54-2020,По виду работ,, ГЭСНр 54-1,
,,,BCAA,,,Сборка инвентарных подмостей при разборке перекрытий по стальным балкам,,ГЭСНр 81-02-54-2020,,,,
,,,BCAB,,,Разборка монолитных перекрытий при разборке перекрытий по стальным балкам,,ГЭСНр 81-02-54-2020,,,,
,,,BCAC,,,Непосредственная разборка стальных балок перекрытий,,ГЭСНр 81-02-54-2020,,,,
,,,BCAD,,,Перестановка подмостей при разборке перекрытий по стальным балкам,,ГЭСНр 81-02-54-2020,,,,
,,,BCAE,,,Разборка подмостей при разборке перекрытий по стальным балкам,,ГЭСНр 81-02-54-2020,,,,
,,BCB,,,,Разборка стальных балок перекрытий,,ГЭСНр 81-02-54-2020,По виду работ,,ГЭСНр 54-2 ,
,,,BCBA,,,Высвобождение концов балки из кирпичной кладки,,ГЭСНр 81-02-54-2020,,,,
,,,BCBB,,,Строповка балки и выдвижение ее из гнезд,,ГЭСНр 81-02-54-2020,,,,
,,,BCBC,,,Перестроповка балки,,ГЭСНр 81-02-54-2020,,,,
,,,BCBD,,,Укладка в штабель с расстроповкой,,ГЭСНр 81-02-54-2020,,,,
,,BCC,,,,Разборка подшивки потолков,,ГЭСНр 81-02-54-2020,По виду работ,,ГЭСНр 54-3,
,,,BCCA,,,Разборка подшивки,,ГЭСНр 81-02-54-2020,,,,
,,,BCCB,,,Отбивка штукатурки,,ГЭСНр 81-02-54-2020,,,,
,,,BCCC,,,Перерубка драни,,ГЭСНр 81-02-54-2020,,,,
,,BCD,,,,Ремонт деревянных балок,,ГЭСНр 81-02-54-2020,По виду работ,,ГЭСНр 54-4,
,,,BCDA,,,Установка временной подпорной стойки под балку при ремонте деревянных балок,,ГЭСНр 81-02-54-2020,,,,
,,,BCDB,,,Высвобождение концов балок при ремонте деревянных балок,,ГЭСНр 81-02-54-2020,,,,
,,,BCDC,,,"Замена пораженного гнилью конца балки с заготовкой нового конца, установкой дощатых накладок и прибивкой черепных брусков",,ГЭСНр 81-02-54-2020,,,,
,,,BCDD,,,Установка дощатых накладок при ремонте деревянных балок,,ГЭСНр 81-02-54-2020,,,,
,,,BCDE,,,Прибивка черепных брусков при ремонте деревянных балок,,ГЭСНр 81-02-54-2020,,,,
,,,BCDF,,,Заделка концов балок кирпичом при ремонте деревянных балок,,ГЭСНр 81-02-54-2020,,,,
,,,BCDG,,,Установка дощатых накладок с креплением гвоздями при ремонте деревянных балок,,ГЭСНр 81-02-54-2020,,,,
,,,BCDH,,,Снятие старых черепных брусков при ремонте деревянных балок,,ГЭСНр 81-02-54-2020,,,,
,,,BCDJ,,,Заготовка по длине черепных брусков при ремонте деревянных балок,,ГЭСНр 81-02-54-2020,,,,
,,,BCDK,,,Прибивка новых черепных брусков при ремонте деревянных балок,,ГЭСНр 81-02-54-2020,,,,
,,,BCDL,,,Стесывание пораженной поверхности балки при ремонте деревянных балок,,ГЭСНр 81-02-54-2020,,,,
,,BCE,,,,Ремонт деревянных перекрытий со сменой подборов,,ГЭСНр 81-02-54-2020,По виду работ,, ГЭСНр 54-5 ,
,,,BCEA,,,Разборка подборов при ремонте деревянных перекрытий,,ГЭСНр 81-02-54-2020,,,,
,,,BCEB,,,Укладка по черепным брускам подбора при ремонте деревянных перекрытий,,ГЭСНр 81-02-54-2020,,,,
,,BCF,,,,Врубка деревянного ригеля между балками,,ГЭСНр 81-02-54-2020,По виду работ,,ГЭСНр 54-6 ,
,,,BCFA,,,Установка временной стойки под балку при врубке деревянного ригеля между балками,,ГЭСНр 81-02-54-2020,,,,
,,,BCFB,,,Заготовка ригеля из брусьев для врубки деревянного ригеля между балками,,ГЭСНр 81-02-54-2020,,,,
,,,BCFC,,,Врубка ригеля в балки с устройством сопряжений,,ГЭСНр 81-02-54-2020,,,,
,,BCG,,,,Смена засыпки перекрытия,,ГЭСНр 81-02-54-2020,По виду работ,,ГЭСНр 54-7,
,,,BCGA,,,Разборка засыпки перекрытия для ее смены,,ГЭСНр 81-02-54-2020,,,,
,,,BCGB,,,Удаление смазки или изоляции при смене засыпки перекрытия,,ГЭСНр 81-02-54-2020,,,,
,,,BCGC,,,Укладка изоляции из рубероида при смене засыпки перекрытия,,ГЭСНр 81-02-54-2020,,,,
,,,BCGD,,,Устройство новой смазки глиняным раствором при смене засыпки перекрытия,,ГЭСНр 81-02-54-2020,,,,
,,,BCGE,,,Устройство засыпки,,ГЭСНр 81-02-54-2020,,,,
,,BCH,,,,Укладка металлических балок при капитальном ремонте перекрытий,,ГЭСНр 81-02-54-2020,По виду работ,,ГЭСНр 54-8,
