Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,"Код по классификатору ОАО ""РЖД""",Примеры,Примечания
,,FDB,,,Комплекс объектов производства медицинских изделий из стекла,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,FDC,,,"Комплекс объектов производства медицинских инструментов, приборов",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,FF,,,,Комплексы ОКС вспомогательной инфраструктуры отрасли производство готовых изделий,,,По виду комплекса ОКС,,,
,,FFA,,,Комплекс вспомогательных объектов легкой промышленности,,,,,,
,,FFB,,,Комплекс вспомогательных объектов промышленности готовых металлических изделий,,,,,,
,,FFC,,,Комплекс вспомогательных объектов промышленности готовых изделий,,,,,,
,,FFD,,,Комплекс вспомогательных объектов радиоэлектронной и электротехнической промышленности,,,,,,
,,FFE,,,Комплекс вспомогательных объектов медико-инструментальной промышленности,,,,,,
,FE,,,,Комплексы ОКС промышленности радиоэлектронных и электротехнических изделий,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,FEA,,,Комплекс объектов производства источников питания,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,FEB,,,Комплекс объектов производства и сборки средств электронно-вычислительной техники,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,FEC,,,Комплекс объектов производства облучающих аппаратов и электронных ламп,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,FED,,,"Комплекс объектов производства оптических приборов, устройств и оборудования",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,FEE,,,"Комплекс объектов производства электрических ламп, осветительного оборудования и светотехнических изделий",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,FEF,,,Комплекс объектов кабельного производства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,FEG,,,"Комплекс объектов производства электродвигателей, электрогенераторов и трансформаторов",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,FEH,,,Комплекс объектов производства электроники и электрооборудования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,FEJ,,,"Комплекс объектов производства конденсаторов, полупроводниковых компонентов и электроугольных изделий",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,FEK,,,Комплекс объектов производства электроизоляционных материалов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,FEL,,,Комплекс объектов производства электронной и низковольтной аппаратуры,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,FEM,,,Комплекс объектов производства электронных печатных плат,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,FEN,,,Комплекс объектов производства электрифицированного транспорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
G,,,,,Комплексы ОКС среды населенных пунктов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,GB,,,,Комплексы ОКС торговли и обслуживания населения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,GBA,,,Комплекс объектов бытового обслуживания,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,GBB,,,Комплекс объектов похоронного назначения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,GBC,,,Комплекс объектов общественных уборных,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,GBD,,,Комплекс объектов общественного питания,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,GBE,,,Комплекс объектов почтовой связи,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,GBF,,,Комплекс объектов торговли,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,GC,,,,Комплексы ОКС для проживания,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
