Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Технико-экономические показатели <Prp>,Код соответствующего ОКС (группы ОКС) по классификатору ОКС ГГЭ,Код соответствующего ОКС по классификатору МССК,"Код соответствующего ОКС по КТИМ ОАО ""РЖД""",Примечания,Синонимы
,,EAF,,,Сети газоснабжения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,XPG_0019,12.01.006.,,,,
,,,EAFA,,Линейное сооружение сети газоснабжения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPG_0019
BH__0011
",12.01.006.001,,,,
,,,EAFB,,Здание (сооружение) газорегуляторного пункта сети газоснабжения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0005
BH__0011",12.01.006.002,,,,
,,,EAFC,,"Сооружение газонаполнительной станции, пункта",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
",12.01.006.003,,,,
,,,EAFD,,Сооружение перехода через естественные и искусственные преграды газопровода,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPG_0019
CPG_0023
XPG_0010",12.01.006.004,,,,
,,,EAFE,,"Сооружение противоэрозийной, электрохимической защиты трубопровода сети газоснабжения",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPG_0019
SFPE0001
BQ__0022
BQ__0030
BQ__0035
XPE_0004",12.01.006.005,,,,
,,,EAFF,,Сооружение компрессорной станции сети газоснабжения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BPG_0005
SPP_0006
",12.01.006.006,,,,
,,EAG,,,Сети кондиционирования и вентиляции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BPG_0005,12.01.007.,,,,
,,,EAGA,,Сооружение системы кондиционирования и вентиляции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPE_0004
",12.01.007.001,,,,
,,EAH,,,Сети пожаротушения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BF__0053,12.01.008.,,,,
,,,EAHA,,Сооружение автоматической системы пожаротушения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"ZPG_0005
BQ__0001
BF__0053",12.01.008.001,,,,
,,EAJ,,,"Объекты, объединяющие несколько видов инженерных сетей",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,12.01.009.,,,,
,,EAK,,,Прочие виды объектов  инженерных сетей,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,12.01.099.,,,,
,,,EAKA,,"Сооружение коллектора, коммуникационного тоннеля инженерных сетей",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
XPG_0019
XPG_0010",12.01.099.001,,,,
,,,EAKB,,Сооружение надземного перехода для трубопроводов и кабелей,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"CPG_0039 
XPG_0003
",12.01.099.002,,,,
,EB,,,,Гидротехнические сооружения и сооружения для защиты населения и территорий,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,12.02.,,,,
,,EBA,,,Гидротехнические объекты,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BF__0005,12.02.001.,,,,
,,,EBAA,,"Водоподпорное сооружение (плотина, дамба и др.)",Гидротехническое сооружение для создания подпора," Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ Р 70214-2022 ",,"XPF_0015
XPG_0002
BPG_0014 
BF__0005
XPF_0015
",12.02.001.001,,,,
,,,EBAB,,"Водопроводящее сооружение (канал, шлюз, трубопровод, гидротехнический тоннель, лоток и др.)",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0005
BH__0011
BPG_0005
",12.02.001.002,,,,
,,,EBAC,,"Водосбросное сооружение (водослив, глубинный водосброс, водоспуск и пр.)",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0005
BH__0011",12.02.001.003,,,,
,,,EBAD,,"Регуляционное сооружение (струенаправляющая дамба, берегоукрепительное сооружение и пр.)",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPG_0002
XPG_0003
BF__0005
",12.02.001.004,,,,
,,,EBAE,,"Специальное сооружение (рыбохозяйственное, лесосплавное, система осушения и др.)",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPG_0003
BF__0005",12.02.001.005,,,,
,,,EBAF,,"Дренажное сооружение (штольня, галерея и др.)",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPG_0002
BF__0005
",12.02.001.006,,,,
,,,EBAG,,"
Накопительное сооружение (бассейн, пруд, водохранилище и др.)",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0005
XPG_0007
BPG_0005
",12.02.001.007,,,,
,,EBB,,,Объекты защиты населения и территорий,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,12.02.002.,,,,
,,,EBBA,,Здание (сооружение) гражданской обороны,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005
ZPG_0005
BPG_0011
BQ__0001
BQ__0019
",12.02.002.001,,,,
,,,EBBB,,"Защитное сооружение от природных воздействий (подпорная стена, противооползневое сооружение, боносетевое заградительное сооружение и др.)",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPG_0019
",12.02.002.002,,,,
F,,,,,Производство готовых изделий,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,11.,,,,
,FA,,,,Лёгкая промышленность,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,11.01.,,,,
,,FAA,,,"Объекты производства ткани, кожи",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,11.01.004.,ВН ПН 40 10 20,,,
,,,FAAA,,"Здание цеха по производству специальных тканей (тентовых, с ПВХ покрытием и пр.)",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005
BH__0011",11.01.004.001,,,,
,,,FAAB,,Здание цеха по производству ткани,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005
BH__0011",11.01.004.002,,,,
,,,FAAC,,Здание цеха кожевенного производства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0005
BH__0011",11.01.004.003,,,,
,,,FAAD,,Здание цеха по производству меха и меховых изделий,, Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,BH__0011,11.01.004.099,ВН ПН 40 10 18,,,
,,FAB,,,Объекты производства обуви,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,11.01.001.,ВН ПН 40 10 20,,,
,,,FABA,,Здание цеха по производству обуви (в том числе специальной) и деталей обуви,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005
BH__0011",11.01.001.001,,,,
,,FAC,,,Объекты производства одежды,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,11.01.002.,ВН ПН 40 10 16,,,
,,,FACA,,Здание цеха по производству одежды (в том числе специальной),,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005
BH__0011",11.01.002.001,,,,
,,FAD,,,Объекты производства сопутствующей продукции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,11.01.003.,,,,
,,,FADA,,"Здание цеха по производству канатов, веревок, шпагатов и пр",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005
BH__0011",11.01.003.001,,,,
,,,FADB,,Здание цеха по производству ковров и ковровой продукции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005
BH__0011",11.01.003.002,,,,
,,,FADC,,Здание цеха по производству галантереи,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0005
BH__0011",11.01.003.003,,,,
