Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Технико-экономические показатели <Prp>,Код соответствующего ОКС (группы ОКС) по классификатору ОКС ГГЭ,Код соответствующего ОКС по классификатору МССК,"Код соответствующего ОКС по КТИМ ОАО ""РЖД""",Примечания,Синонимы,УИН
,,,AEDH,,Здание цеха по производству снеков,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BH__0011 
BPG_0011 
BQ__0001",06.03.003.006,,,,,KSI030001155
,,,AEDJ,,Здание цеха по производству табачной продукции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BH__0011 
BPG_0011 
BQ__0001",06.03.003.008,,,,,KSI030000208
,,AEE,,,Объекты производства кормов и комбикормов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,BH__0011,06.03.004.,,,,,KSI030000197
,,,AEEA,,Здание цеха по производству кормов и комбикормов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BH__0011 
BPG_0011 
BQ__0001",06.03.004.001,,,,,KSI030000200
,,AEF,,,Объекты производства хлебобулочной и кондитерской продукции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,BH__0011,06.03.006.,,,,,KSI030000201
,,,AEFA,,Здание цеха по производству кондитерской продукции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BH__0011 
BPG_0011 
BQ__0001",06.03.006.001,,,,,KSI030000202
,,,AEFB,,Здание цеха по производству хлебобулочной продукции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BH__0011 
BPG_0011 
BQ__0001",06.03.006.002,,,,,KSI030000203
B,,,,,Объекты добывающей промышленности и промышленности строительных материалов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,08.,,,,,KSI030000062
,BA,,,,Объекты добычи и переработки железных руд,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,08.03.,,,,,KSI030000063
,,BAA,,,Объекты добычи железных руд открытым способом,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,08.03.001.,,,,,KSI030000064
,,,BAAA,,Сооружение дробильно-перегрузочного пункта объектов добычи железных руд,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,08.03.001.001,,,,,KSI030001080
,,,BAAB,,Сооружение карьера добычи железных руд ,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPG_0005
BH__0011",08.03.001.002,,,,,KSI030001081
,,BAB,,,Объекты добычи железных руд подземным способом,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011 
",08.03.002.,,,,,KSI030000065
,,,BABA,,Сооружение шахтного ствола объектов добычи железных руд,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,XPG_0008,08.03.002.001,,,,,KSI030001082
,,,BABB,,Сооружение скважины объектов добычи железных руд,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,XPG_0008,08.03.002.002,,,,,KSI030001083
,,BAC,,,Объекты обогащения железных руд,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011 ,08.03.003.,,,,,KSI030000066
,,,BACA,,Здание цеха брикетирования железных руд,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0005 
BH__0011",08.03.003.001,,,,,KSI030001084
,,,BACB,,"Здание цеха дробления, грохочения железных руд",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011 ,08.03.003.002,,,,,KSI030001085
,,,BACC,,Здание цеха окомкования железных руд,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0005 
BH__0011",08.03.003.003,,,,,KSI030001086
,,,BACD,,Здание цеха сепарации железных руд,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011 ,08.03.003.004,,,,,KSI030001087
,BB,,,,Объекты добычи и переработки руд цветных металлов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,08.04.,,,,,KSI030000068
,,BBA,,,Объекты добычи руд цветных металлов открытым способом,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,08.04.002.,,,,,KSI030000069
,,,BBAA,,Сооружение дробильно-перегрузочного пункта объектов добычи руд цветных металлов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BPG_0005",08.04.002.001,,,,,KSI030001088
,,,BBAB,,Сооружение карьера  добычи руд цветных металлов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPG_0005
",08.04.002.002,,,,,KSI030001089
,,BBB,,,Объекты добычи руд цветных металлов подземным способом,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,08.04.001.,,,,,KSI030000070
,,,BBBA,,Сооружение шахтного ствола объектов добычи руд цветных металлов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPG_0008
",08.04.001.001,,,,,KSI030001090
,,,BBBB,,Сооружение скважины объектов добычи руд цветных металлов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPG_0008
",08.04.001.002,,,,,KSI030001091
,,BBC,,,Объекты обогащения руд цветных металлов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,08.04.003.,,,,,KSI030000071
,,,BBCA,,Здание (сооружение) цеха дробления руд цветных металлов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0005
BH__0011",08.04.003.001,,,,,KSI030001092
,,,BBCB,,Здание цеха флотации руд цветных металлов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0005
BH__0011",08.04.003.002,,,,,KSI030001093
,BC,,,,Объекты добычи и переработки прочих полезных ископаемых,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,08.02.,,,,,KSI030000072
,,BCA,,,Объекты добычи прочих полезных ископаемых подземным способом,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,08.02.002.,,,,,KSI030000073
,,,BCAA,,Сооружение шахтного ствола добычи прочих полезных ископаемых,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,XPG_0008,08.02.002.001,,,,,KSI030001094
,,,BCAB,,Сооружение скважины добычи прочих полезных ископаемых,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,XPG_0008,08.02.002.002,,,,,KSI030001095
,,BCB,,,Объекты добычи прочих полезных ископаемых открытым способом,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,08.02.001.,,,,,KSI030000074
,,,BCBA,,Сооружение карьера добычи прочих полезных ископаемых открытым способом,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPG_0005
BH__0011
",08.02.001.001,,,,,KSI030001096
,,,BCBB,,Здание (сооружение) погрузочного пункта объектов добычи прочих полезных ископаемых,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005",08.02.001.002,,,,,KSI030001097
,,BCC,,,Объекты обогащения прочих полезных ископаемых,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,08.02.003.,,,,,KSI030001098
,,,BCCA,,Производственный цех обогатительной фабрики,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0005
BH__0011
",08.02.003.001,,,,,KSI030001099
,,,BCCB,,"Сооружение стационарного дробильного, дробильно-сортировочного комплекса прочих полезных ископаемых",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0005
BH__0011
",08.02.003.002,,,,,KSI030001100
,BD,,,,Объекты добычи природного газа,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,08.05.,,,,,KSI030000076
,,BDA,,,"Объекты добычи, сбора, подготовки и транспорта газа",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,08.05.001.,,,,,KSI030000077
,,,BDAA,,"Сооружение узла учета и замера объектов добычи, сбора, подготовки и транспорта газа",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XF__0016
BPP_0003
BF__0046",08.05.001.001,,,,,KSI030001101
,,,BDAB,,"Сооружение компрессорной станции объектов добычи, сбора, подготовки и транспорта газа",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BPG_0005
",08.05.001.002,,,,,KSI030001102
,,,BDAC,,"Сооружение приемо-сдаточного пункта объектов добычи, сбора, подготовки и транспорта газа",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BPG_0005
",08.05.001.004,,,,,KSI030001103
,,,BDAD,,"Сооружение сборного пункта объектов добычи, сбора, подготовки и транспорта газа",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,08.05.001.005,,,,,KSI030001104
,,,BDAE,,Морское газовое сооружение (платформа),, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
XF__0001",08.05.001.006,,,,,KSI030001105
,,,BDAF,,"Сооружение скважины объектов добычи, сбора, подготовки и транспорта газа",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPG_0008
BH__0011
",08.05.001.007,,,,,KSI030001106
,,,BDAG,,"Сооружение куста скважин объектов добычи, сбора, подготовки и транспорта газа",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XQ__0003
BH__0011
",08.05.001.008,,,,,KSI030001107
,,,BDAH,,"Сооружение факельной системы объектов добычи, сбора, подготовки и транспорта газа",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0005
BH__0011
",08.05.001.009,,,,,KSI030001108
,,,BDAJ,,"Сооружение трубопровода объектов добычи, сбора, подготовки и транспорта газа",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
XPG_0010
XPG_0019
CPG_0023",08.05.001.010,,,,,KSI030001109
,,,BDAK,,Сооружение очистки и первичной переработки газа,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
",08.05.001.011,,,,,KSI030000078
,,,BDAL,,Сооружение комплексной подготовки газа,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
",08.05.001.003,,,,,KSI030000082
,,,,,Объекты добычи сырой нефти,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,08.06.,,,,,KSI030000084
,,BEA,,,"Объекты добычи, сбора, подготовки и транспорта нефти и попутного газа",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,BH__0011,08.06.002.,,,,,KSI030000085
,,,BEAA,,Сооружение нефтенасосной станции,,СП 18.13330.2019 ,,"XF__0001
BF__0047
BF__0048
BF__0049
",08.06.002.002,,,,,KSI030000086
,,,BEAB,,Сооружение пункта сбора нефти и попутного газа,,СП 18.13330.2019,,"BF__0049
BPG_0005",08.06.002.004,,,,,KSI030000087
,,,BEAC,,"Сооружение компрессорной станции объектов добычи, сбора, подготовки и транспорта нефти и попутного газа",,СП 18.13330.2019,,"BH__0011
BPG_0005
",08.06.002.005,,,,,KSI030000088
,,,BEAD,,"Сооружение подготовки нефти, нефтяного газа и воды",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0005
BF__0047
BF__0048
BF__0049
",08.06.002.010,,,,,KSI030000092
,,,BEAE,,"Сооружение узла учета и замера объектов добычи, сбора, подготовки и транспорта нефти и попутного газа",,СП 18.13330.2019,,"XF__0016
BPP_0003
BF__0046
BPG_0005
",08.06.002.001,,,,,KSI030000090
,,,BEAF,,"Сооружение приемо-сдаточного пункта  объектов добычи, сбора, подготовки и транспорта нефти и попутного газа",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0049
",08.06.002.003,,,,,KSI030001110
,,,BEAG,,Морское нефтегазовое сооружение (платформа),, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
XF__0001
",08.06.002.006,,,,,KSI030001111
