Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Технико-экономические показатели <Prp>,Код соответствующего ОКС (группы ОКС) по классификатору ОКС ГГЭ,Код соответствующего ОКС по классификатору МССК,"Код соответствующего ОКС по КТИМ ОАО ""РЖД""",Примечания,Синонимы,УИН
,,,AECA,,Здание цеха по производству безалкогольных напитков,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BH__0011 
BPG_0011 
BQ__0001",06.03.002.002,,,,,KSI030000180
,,,AECB,,Здание цеха по производству алкогольных напитков,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BH__0011 
BPG_0011 
BQ__0001",06.03.002.001,,,,,KSI030000183
,,AED,,,Объекты производства бакалейной продукции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,BH__0011,06.03.003.,,,,,KSI030000186
,,,AEDA,,Здание цеха по производству чая,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BH__0011 
BPG_0011 
BQ__0001",06.03.003.009,,,,,KSI030000187
,,,AEDB,,Здание цеха по производству макаронной продукции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BH__0011 
BPG_0011 
BQ__0001",06.03.003.003,,,,,KSI030000188
,,,AEDC,,Здание цеха по производству кофе,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BH__0011 
BPG_0011 
BQ__0001",06.03.003.002,,,,,KSI030000189
,,,AEDD,,Здание цеха по производству мукомольно-крупяной продукции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BH__0011 
BPG_0011 
BQ__0001",06.03.003.004,,,,,KSI030000190
,,,AEDE,,Здание цеха по производству сахара и патоки,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BH__0011 
BPG_0011 
BQ__0001",06.03.003.005,,,,,KSI030000191
,,,AEDF,,Здание цеха по производству вкусовых добавок и пищевых концентратов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BH__0011 
BPG_0011 
BQ__0001",06.03.003.001,,,,,KSI030000192
,,,AEDG,,"Здание цеха по производству солода, крахмала и дрожжей",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BH__0011 
BPG_0011 
BQ__0001",06.03.003.007,,,,,KSI030000193
