Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Примечания,Синонимы,УИН
,,,AGAA,,Стекло листовое,"Изделие из стекла, изготовленное методами флоат, вертикального вытягивания или непрерывного проката без дополнительной обработки поверхностей, имеющее вид плоского прямоугольного листа","ГОСТ 32539-2013
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,01.8.02.06,СТ 10 10 60 30,,,KSI170000106
,,,,AGAA010,Кварцевое стекло,"Силикатное стекло, единственным компонентом которого является оксид кремния",ГОСТ 32539-2013,,,,,,,KSI170000107
,,,,AGAA020,Натриево-силикатное стекло,,,,,,,,,KSI170000108
,,,,AGAA030,Алюмосиликатное стекло,,,,,,,,,KSI170000109
,,,,AGAA040,Известковое стекло,,,,,,,,,KSI170000110
,,,,AGAA050,Свинцовое стекло,"Стекло с большим процентным содержанием соединений свинца для ослабления излучения, проходящего через него, которое используется как прозрачный защитный барьер",ГОСТ Р МЭК 60050-881-2008,,,,,,,KSI170000111
,,,,AGAA060,Боросиликатное стекло,"Силикатное стекло, характеризующим компонентом которого является оксид бора",ГОСТ 32539-2013,,,,,,,KSI170000112
,,,,AGAA070,Боратное стекло,,,,,,,,,KSI170000113
,,,,AGAA080,Фосфатное стекло,,,,,,,,,KSI170000114
,,,AGAB,,Пеностекло,"Материал в виде затвердевшей стеклянной пены с герметически закрытыми порами, заполненными смесью различных газов, изготовляемый в виде блоков или плит и предназначенный для теплозвукоизоляции ","СТ СЭВ 2439-80
Приказ Минстроя России от 17.11.2022 N 969/пр",,,,,,,KSI170000115
,,,,AGAB010,Гранулированное пеностекло,"Сыпучее пеностекло в виде частиц размером в диапазоне 5-40 мм, имеющих форму, близкую к сферической, и неразвитую поверхность, отличную от внутреннего ячеистого строения частиц, выпускаемое в виде фракций размером 5-10, 10-20, 20-40 мм",ГОСТ 33676-2015,,,,,,,KSI170000116
,,,,AGAB020,Блок из пеностекла,"Изделие с прямоугольным поперечным сечением толщиной, незначительно отличающейся от ширины изделия, из пеностекла","ГОСТ 33676-2015
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,СТ 10 14 20 02,Определение синтезировано,,KSI170000117
,,AGB,,,Минеральная вата,"Теплоизоляционный материал, имеющий структуру ваты и изготовленный из расплава горной породы, шлака или стекла","ГОСТ 4640-2011
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",По виду материала,,"12.2.03.02
",СТ 10 14 20 15,,,KSI170000118
,,,,AGB010,Базальтовая вата,,,,,12.2.03.02,,,,KSI170000119
,,,,AGB020,Стекловата,"Синтетическое некристаллическое изоляционное волокно на основе химического состава из кальция, магния и кремния, имеющее повышенную растворимость в жидких средах","ГОСТ Р 53682-2009
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"12.2.03.02
",СТ 10 14 20 34,,,KSI170000120
,,,,AGB030,Шлаковая вата,"Минеральная вата, полученная из расплава доменного шлака",ГОСТ 31913-2022,,,12.2.03.02,,,,KSI170000121
,,AGC,,,Минеральные вяжущие вещества,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,По виду материала,,,СТ 10 09,,,KSI170000122
,,,AGCA,,Гипсовые вяжущие вещества,"Вяжущие, получаемые путем термической обработки гипсового сырья до полугидрата сульфата кальция и применяемые для изготовления строительных изделий всех видов и при производстве строительных работ, а также для изготовления форм и моделей в фарфоро-фаянсовой, керамической и других отраслях промышленности","ГОСТ 125-2018
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,03.1.01.01,СТ 10 09 40,,,KSI170000123
,,,,AGCA010,Строительный гипс,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"03.1.01.01
59.1.03.01",СТ 10 09 40 30,,,KSI170000124
,,,,AGCA020,Высокопрочный гипс,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"03.1.01.01
59.1.03.01",,,,KSI170000125
,,,,AGCA030,Формовочный гипс,,,,,,,,,KSI170000126
,,,,AGCA040,Ангидрит (ангидритовый цемент),,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,,СТ 10 09 40 10,,,KSI170000127
,,,,AGCA050,Высокообжиговый гипс (эстрих-гипс),,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,,СТ 10 09 40 20,,,KSI170000128
