Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Подкласс 5,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Код класса по KKS,Примечания,Синонимы,УИН
,,,,ALEDC,,,Изделие шамотное для воздухонагревателей доменных печей,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.02.03,,,,,KSI160000810
,,,,ALEDD,,,Изделие шамотное для заливочной установки чугуна,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.02.04,,,,,KSI160000811
,,,,ALEDE,,,Изделие шамотное для кладки доменных печей,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.02.05,,,,,KSI160000812
,,,,ALEDF,,,Изделие шамотное для мартеновских печей,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.02.06,,,,,KSI160000813
,,,,ALEDG,,,Изделие шамотное для непрерывной разливки стали,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.02.07,,,,,KSI160000814
,,,,ALEDH,,,Изделие шамотное для стабилизирующих камер газовых горелок,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.02.08,,,,,KSI160000815
,,,,ALEDJ,,,Изделие шамотное для сталеразливочных ковшей,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.02.09,,,,,KSI160000816
,,,,ALEDK,,,Изделие шамотное для топок котлов морского флота,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.02.10,,,,,KSI160000817
,,,,ALEDL,,,Изделие шамотное для чугуновозных ковшей,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.02.11,,,,,KSI160000818
,,,,ALEDM,,,Изделие шамотное для шиберных затворов сталеразливочных ковшей,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.02.12,,,,,KSI160000819
,,,,ALEDN,,,Изделия шамотные и полукислые для вагранок,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.02.13,,,,,KSI160000820
,,,,ALEDP,,,Изделия шамотные и полукислые для сифонной разливки стали,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.02.14,,,,,KSI160000821
,,,,ALEDQ,,,Изделия шамотные и полукислые для футеровки вращающихся печей,,"ГОСТ 21436-2004
Приказ Минстроя России от 17.11.2022 N 969/пр",,,17.3.02.15,,,,,KSI160000822
,,,,ALEDR,,,Изделия шамотные и шамотнокарбидкремниевые для трубчатых рекуператоров,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.02.16,,,,,KSI160000823
,,,,ALEDS,,,Изделия шамотные легковесные теплоизоляционные,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.02.17,,,,,KSI160000824
,,,,ALEDT,,,Изделия шамотные легковесные теплоизоляционные для вращающихся печей,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.02.18,,,,,KSI160000825
,,,,ALEDU,,,Изделие шамотное общего назначения,,"ГОСТ 390-2018
Приказ Минстроя России от 17.11.2022 N 969/пр",,,17.3.02.19,,,,,KSI160000826
,,,,ALEDV,,,Изделия шамотные стопорные для разливки стали из ковша,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.02.20,,,,,KSI160000827
,,,ALEE,,,,"Изделия огнеупорные карбидокремниевые, включая электронагреватели карбидокремниевые",,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.03.,,,,,KSI160000828
,,,,ALEEA,,,Изделие карбидокремниевое,,"ГОСТ 10153-70
Приказ Минстроя России от 17.11.2022 N 969/пр",,,17.3.03.01,,,,,KSI160000829
,,,,ALEEB,,,Изделие шамотнокарбидкремниевое,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.03.02,,,,,KSI160000830
,,,ALEF,,,,"Изделия огнеупорные магнезиальные, в том числе периклазовые, хромитовые, шпинельные, магнезиально-силикатные, магнезиально-известковые",,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"17.3.04
17.2.02.01
",,,,,KSI160000831
,,,,ALEFA,,,"Изделия высокомагнезиальные, периклазовые",,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.04.01,,,,,KSI160000832
,,,,ALEFB,,,Изделия магнезиально-шпилевидные для конвертеров цветной металлургии,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.04.02,,,,,KSI160000833
,,,,ALEFC,,,Изделия периклазовые для шиберных затворов сталеразливочных ковшей,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.04.03,,,,,KSI160000834
,,,,ALEFD,,,Изделия периклазовые стопорные для разливки стали из ковша,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.04.04,,,,,KSI160000835
,,,,ALEFE,,,Изделия периклазовые и периклазохромитовые для сталевыпускного отверстия конвертеров и мартеновских печей,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.04.05,,,,,KSI160000836
,,,,ALEFF,,,Изделия периклазохромитовые для высокотемпературных туннельных печей,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.04.06,,,,,KSI160000837
,,,,ALEFG,,,Изделия периклазохромитовые для кессонных мартеновских печей,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.04.07,,,,,KSI160000838
,,,,ALEFH,,,Изделия периклазохромитовые для сталеплавильных конвертеров,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.04.08,,,,,KSI160000839
,,,,ALEFJ,,,Изделия периклазохромитовые для сталеплавильных печей,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.04.09,,,,,KSI160000840
,,,,ALEFK,,,Изделия периклазохромитовые для футеровки установок внепечного вакуумирования,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.04.10,,,,,KSI160000841
,,,,ALEFL,,,Изделия форстеритовые и форстеритохромитовые для кладки регенераторов мартеновских печей,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.04.11,,,,,KSI160000842
,,,,ALEFM,,,Изделия хромитопериклазовые для кладки сводов печей,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.04.12,,,,,KSI160000843
,,,,ALEFN,,,Изделия хромитопериклазовые для конвертеров кислородной продувки,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.04.13,,,,,KSI160000844
,,,,ALEFP,,,"Изделия хромитопериклазовые, периклазохромитовые, периклазошпинельные для футеровки вращающихся печей",,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.04.14,,,,,KSI160000845
,,,,ALEFQ,,,Фурмы периклазовые для продувки металла газами,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.04.15,,,,,KSI160000846
,,,ALEG,,,,"Изделия огнеупорные муллитокремнеземистые, муллитовые, муллитокорундовые и корундовые",,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"17.3.05
",,,,,KSI160000847
,,,,ALEGA,,,Изделия бадделеитокорундовые для стекловаренных печей,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.05.01,,,,,KSI160000848
,,,,ALEGB,,,Изделия бадделеитокорундовые повышенной чистоты для стекловаренных печей,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.05.02,,,,,KSI160000849
,,,,ALEGC,,,Изделия корундовые высокоплотные для термопар,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.05.03,,,,,KSI160000850
,,,,ALEGD,,,Изделия корундовые для футеровки томильных зон нагревательных печей,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.05.04,,,,,KSI160000851
,,,,ALEGE,,,Изделия корундовые легковесные теплоизоляционные,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.05.05,,,,,KSI160000852
,,,,ALEGF,,,Изделия корундоциркониевые,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.05.06,,,,,KSI160000853
,,,,ALEGG,,,Изделия муллитовые для лещади доменных печей,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.05.07,,,,,KSI160000854
,,,,ALEGH,,,Изделия муллитовые и муллитокорундовые для стабилизирующих камер газовых горелок,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.05.08,,,,,KSI160000855
,,,,ALEGJ,,,Изделия муллитовые и муллитокремнеземистые для вращающихся печей,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.05.09,,,,,KSI160000856
,,,,ALEGK,,,Изделия муллитовые легковесные теплоизоляционные,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.05.10,,,,,KSI160000857
,,,,ALEGL,,,"Изделия муллитовые, муллитокорундовые и муллитокремнеземистые стопорные для разливки стали из ковша",,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.05.11,,,,,KSI160000858
,,,,ALEGM,,,"Изделия муллитовые, муллитокорундовые и муллитокремнеземистые для шиберных затворов сталеразливочных ковшей",,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.05.12,,,,,KSI160000859
,,,,ALEGN,,,Изделия муллитокорундовые для реакторов сажевого производства и печей,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.05.13,,,,,KSI160000860
,,,,ALEGP,,,"Изделия муллитокорундовые, муллитокремнеземистые для кладки воздухонагревателей и воздухопроводов горячего дутья доменных печей",,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.05.14,,,,,KSI160000861
,,,,ALEGQ,,,Изделия муллитокремнеземистые легковесные теплоизоляционные,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.05.15,,,,,KSI160000862
,,,,ALEGR,,,"Изделия муллитокремнеземистые, муллитовые, муллитокорундовые и корундовые для футеровки",,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.05.16,,,,,KSI160000863
