Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Подкласс 5,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Код класса по KKS,Примечания,Синонимы,УИН
,,,,ACABD,,,Утолщенный кирпич пустотелый,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,05.2.03.19,,,,,KSI160000101
,,,,ACABE,,,Кирпич силикатный лицевой одинарный,,Приказ Минстроя России от 17.11.2022 N969/пр ,,,05.2.03.13,,,,,KSI160000102
,,,,ACABF,,,Кирпич силикатный полнотелый утолщенный,,Приказ Минстроя России от 17.11.2022 N969/пр ,,,05.2.03.17,,,,,KSI160000103
,,,,ACABG,,,Кирпич силикатный условно эффективный одинарный,,,,,05.2.03.20,,,,,KSI160000104
,,,,ACABH,,,Кирпич силикатный эффективный одинарный,,,,,05.2.03.21,,,,,KSI160000105
,,,,ACABJ,,,Камень силикатный лицевой,,Приказ Минстроя России от 17.11.2022 N969/пр ,,,05.2.03.06,,,,,KSI160000106
,,,,ACABK,,,Камень силикатный полнотелый одинарный,,,,,05.2.03.07,,,,,KSI160000107
,,,,ACABL,,,Камень силикатный условно эффективный одинарный,,,,,05.2.03.09,,,,,KSI160000108
,,,,ACABM,,,Камень силикатный эффективный одинарный,,,,,05.2.03.10,,,,,KSI160000109
,,,ACAC,,,,Кирпич и камень керамические,,"ГОСТ 530-2012
Приказ Минстроя России от 17.11.2022 N 969/пр  ",,,"06.1.01.01
06.1.01.02
06.1.01.03
06.1.01.05
06.1.01.11
06.1.02.04",,,,,KSI160000110
,,,,ACACA,,,Кирпич одинарный керамический,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,06.1.01.05,,,,,KSI160000111
,,,,ACACB,,,Кирпич евро керамический,,,,,,,,,,KSI160000112
,,,,ACACC,,,Кирпич утолщенный керамический,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"06.1.01.05
06.1.01.05
06.1.01.05
06.1.01.05
06.1.01.05
06.1.01.05
06.1.01.05
",,,,,KSI160000113
,,,,ACACD,,,Кирпич модульный одинарный керамический,,,,,,,,,,KSI160000114
,,,,ACACE,,,Кирпич утолщенный керамический с горизонтальными пустотами,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"06.1.01.05




",,,,,KSI160000115
,,,,ACACF,,,Камень керамический,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"06.1.01.01
06.1.01.02",,,,,KSI160000116
,,,,ACACG,,,Камень крупноформатный керамический,,,,,,,,,,KSI160000117
,,,,ACACH,,,Камень керамический с горизонтальными пустотами,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,,,,KSI160000118
,,,,ACACJ,,,Кирпич огнеупорный,,ГОСТ 8691-2018,,,"17.1.02.05
17.2.01.02",,,,,KSI160000119
,,,ACAD,,,,Блок для стеновых конструкций,,,,,"05.1.04
",,,,,KSI160000120
,,,,ACADA,,,Блоки стеновые бетонные и железобетонные для зданий,,ГОСТ Р 59957-2021,,,,,,,,KSI160000121
,,,,,ACADAA,,Блок для наружных стен,,ГОСТ Р 59957-2021,,,,,,,,KSI160000122
,,,,,,ACADAA010,"Блок 1БН - простеночный, рядовой",,ГОСТ Р 59957-2021,,,,,,,,KSI160000123
,,,,,,ACADAA020,Блок 2БН - подоконный,,ГОСТ Р 59957-2021,,,,,,,,KSI160000124
,,,,,,ACADAA030,Блок 3БН - перемычечный,,ГОСТ Р 59957-2021,,,,,,,,KSI160000125
,,,,,,ACADAA040,Блок 4БН - поясной,,ГОСТ Р 59957-2021,,,,,,,,KSI160000126
,,,,,,ACADAA050,Блок 5БН - парапетный,,ГОСТ Р 59957-2021,,,,,,,,KSI160000127
,,,,,,ACADAA060,Блок 6БН - подкарнизный,,ГОСТ Р 59957-2021,,,,,,,,KSI160000128
,,,,,,ACADAA070,Блок 7БН - цокольный,,ГОСТ Р 59957-2021,,,,,,,,KSI160000129
