Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Код класса по ОКПДТР,Примеры,Примечания,Синонимы,УИН
,,,,BDEG030,Машинист трубоукладчика,,Постановление Госстандарта РФ от 26.12.1994 N 367,,14277,,,,KSI190000182
,,,BDEH,,Машинист машины для общестроительных работ,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,,,KSI190000183
,,,,BDEH010,Машинист бурильно-крановой самоходной машины,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13589,,,,KSI190000184
,,,,BDEH020,Машинист автокомпрессора,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13515,,,,KSI190000185
,,,,BDEH030,Машинист гидросеялки самоходной,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13668,,,,KSI190000186
,,,,BDEH040,Машинист электролебедки,,Постановление Госстандарта РФ от 26.12.1994 N 367,,14407,,,,KSI190000187
,,,,BDEH050,Машинист электростанции передвижной,,Постановление Госстандарта РФ от 26.12.1994 N 367,,14413,,,,KSI190000188
,,,,BDEH060,Машинист газодувных машин,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13652,,,,KSI190000189
,,,,BDEH070,Машинист двигателей внутреннего сгорания,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13689 ,,,,KSI190000190
,,,,BDEH080,Машинист моечных машин,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13891,,,,KSI190000191
,,,BDEJ,,Машинист компрессора,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,,,KSI190000192
,,,,BDEJ010,Машинист компрессора для подачи воздуха водолазам,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13769,,,,KSI190000193
,,,,BDEJ020,Машинист компрессора передвижного,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13771,,,,KSI190000194
,,,BDEK,,Машинист оборудования,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,,,KSI190000195
