Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по ГЭСН,Примечания,Синонимы,УИН
,,,BBRD,,,Восстановление разобранной кладки перемычки,,ГЭСНр 81-02-53-2020,,,,,,KSI140000226
,,,BBRE,,,Разборка настила из досок при ремонте перемычек,,ГЭСНр 81-02-53-2020,,,,,,KSI140000227
,,,BBRF,,,Пробивка борозд с очисткой их поверхности при ремонте перемычек,,ГЭСНр 81-02-53-2020,,,,,,KSI140000228
,,,BBRG,,,Очистка поверхности борозд при ремонте перемычек,,ГЭСНр 81-02-53-2020,,,,,,KSI140000229
,,,BBRH,,,Устройство опалубки при ремонте перемычек,,ГЭСНр 81-02-53-2020,,,,,,KSI140000230
,,,BBRJ,,,Разборка опалубки при ремонте перемычек,,ГЭСНр 81-02-53-2020,,,,,,KSI140000231
,,,BBRK,,,Расстилание цементного раствора при ремонте перемычек,,ГЭСНр 81-02-53-2020,,,,,,KSI140000232
,,,BBRL,,,Укладка арматуры при ремонте перемычек,,ГЭСНр 81-02-53-2020,,,,,,KSI140000233
,,,BBRM,,,Укладка бетонной смеси при ремонте перемычек,,ГЭСНр 81-02-53-2020,,,,,,KSI140000234
,,,BBRN,,,Разметка мест установки железобетонной брусковой перемычки,,ГЭСНр 81-02-53-2020,,,,,,KSI140000235
,,,BBRP,,,Укладка брусков перемычки с заделкой гнезд и борозд кирпичом и заклинивание промежутка между старой и новой кладкой раствором,,ГЭСНр 81-02-53-2020,,,,,,KSI140000236
,,,BBRQ,,,Заклинивание промежутка между старой и новой кладкой раствором,,ГЭСНр 81-02-53-2020,,,,,,KSI140000237
,,BBS,,,,Кладка отдельных участков стен из кирпича и заделка проемов кирпичом,,ГЭСНр 81-02-53-2020,По виду работ,,ГЭСНр 53-20,,,KSI140000238
,,,BBSA,,,Прием раствора из кузова автомобиля-самосвала при кладке отдельных участков стен,,ГЭСНр 81-02-53-2020,,,,,,KSI140000239
,,,BBSB,,,Установка подмостей при кладке отдельных участков стен,,ГЭСНр 81-02-53-2020,,,,,,KSI140000240
,,,BBSC,,,Перестановка подмостей при кладке отдельных участков стен,,ГЭСНр 81-02-53-2020,,,,,,KSI140000241
,,,BBSD,,,Подача материалов на рабочее место башенным краном при кладке отдельных участков стен,,ГЭСНр 81-02-53-2020,,,,,,KSI140000242
,,,BBSE,,,Кирпичная кладка стен,,ГЭСНр 81-02-53-2020,,,,,,KSI140000243
,,,BBSF,,,Разборка подмостей при кладке отдельных участков стен,,ГЭСНр 81-02-53-2020,,,,,,KSI140000244
,,BBT,,,,Ремонт и восстановление герметизации стыков наружных стеновых панелей и расшивка швов стеновых панелей и панелей перекрытий,,ГЭСНр 81-02-53-2020,По виду работ,,ГЭСНр 53-21 ,,,KSI140000245
,,,BBTA,,,"Расчистка лицевых кромок стыков от старой краски, герметика, пыли и других видов загрязнения",,ГЭСНр 81-02-53-2020,,,,,,KSI140000246
,,,BBTB,,,Вскрытие стыков с удалением пришедшего в негодность заполнителя,,ГЭСНр 81-02-53-2020,,,,,,KSI140000247
,,,BBTC,,,Промазка и укладка жгута,,ГЭСНр 81-02-53-2020,,,,,,KSI140000248
,,,BBTD,,,Укладка термоизоляционных вкладышей,,ГЭСНр 81-02-53-2020,,,,,,KSI140000249
,,,BBTE,,,Покрытие изолируемой поверхности битумом,,ГЭСНр 81-02-53-2020,,,,,,KSI140000250
,,,BBTF,,,Герметизация стыка с нагнетанием материала,,ГЭСНр 81-02-53-2020,,,,,,KSI140000251
,,,BBTG,,,Устройство водоотбойной ленты в открытых стыках,,ГЭСНр 81-02-53-2020,,,,,,KSI140000252
,,,BBTH,,,Устройство водоотводящего фартука,,ГЭСНр 81-02-53-2020,,,,,,KSI140000253
,,,BBTJ,,,Солнцезащита нетвердеющих герметизирующих мастик,,ГЭСНр 81-02-53-2020,,,,,,KSI140000254
,,,BBTK,,,Вскрытие шва,,ГЭСНр 81-02-53-2020,,,,,,KSI140000255
,,,BBTL,,,Оштукатуривание шва раствором,,ГЭСНр 81-02-53-2020,,,,,,KSI140000256
,,,BBTM,,,Установка направляющей рейки,,ГЭСНр 81-02-53-2020,,,,,,KSI140000257
,,,BBTN,,,Прорезка кромок,,ГЭСНр 81-02-53-2020,,,,,,KSI140000258
,,,BBTP,,,Раскрой полиэтилена на полосы,,ГЭСНр 81-02-53-2020,,,,,,KSI140000259
,,,BBTQ,,,Приварка полос,,ГЭСНр 81-02-53-2020,,,,,,KSI140000260
,,,BBTR,,,Проверка качества швов дефектоскопом,,ГЭСНр 81-02-53-2020,,,,,,KSI140000261
,,,BBTS,,,Установка уплотнительных прокладок,,ГЭСНр 81-02-53-2020,,,,,,KSI140000262
,,,BBTT,,,Заполнение шва,,ГЭСНр 81-02-53-2020,,,,,,KSI140000263
,,,BBTU,,,Зачеканка устья,,ГЭСНр 81-02-53-2020,,,,,,KSI140000264
,,,BBTV,,,Затирка полимерцементным раствором,,ГЭСНр 81-02-53-2020,,,,,,KSI140000265
,,,BBTW,,,Очистка граней и фасок панелей,,ГЭСНр 81-02-53-2020,,,,,,KSI140000266
,,,BBTX,,,Огрунтовка поверхностей (праймирование) стыка,,ГЭСНр 81-02-53-2020,,,,,,KSI140000267
,,,BBTY,,,Приготовление герметизирующей мастики,,ГЭСНр 81-02-53-2020,,,,,,KSI140000268
,,BBU,,,,Временная разгрузка каменных конструкций деревянными стойками из бревен,,ГЭСНр 81-02-53-2020,По виду работ,,ГЭСНр 53-22,,,KSI140000269
,,,BBUA,,,Заготовка деревянных стоек для временной разгрузки каменных конструкций,,ГЭСНр 81-02-53-2020,,,,,,KSI140000270
,,,BBUB,,,Установка стоек с креплением для временной разгрузки каменных конструкций,,ГЭСНр 81-02-53-2020,,,,,,KSI140000271
,,BBV,,,,Перекладка карнизов,,ГЭСНр 81-02-53-2020,По виду работ,,ГЭСНр 53-23,,,KSI140000272
,,,BBVA,,,Разборка кирпичной кладки при перекладке карнизов,,ГЭСНр 81-02-53-2020,,,,,,KSI140000273
,,,BBVB,,,Кладка карниза с перевязкой со старой кладкой при перекладке карнизов,,ГЭСНр 81-02-53-2020,,,,,,KSI140000274
,,,BBVC,,,Укладка карнизных плит с заделкой борозд и швов при перекладке карнизов,,ГЭСНр 81-02-53-2020,,,,,,KSI140000275
,,,BBVD,,,Установка анкеров и крепление карнизных плит при перекладке карнизов,,ГЭСНр 81-02-53-2020,,,,,,KSI140000276
,,BBW,,,,Устройство горизонтальной гидроизоляции кирпичных стен ремонтируемых зданий методом инъецирования,,ГЭСНр 81-02-53-2020,По виду работ,,ГЭСНр 53-24 ,,,KSI140000277
,,,BBWA,,,Разметка отверстий в стенах при методе инъецирования,,ГЭСНр 81-02-53-2020,,,,,,KSI140000278
,,,BBWB,,,Заделка отверстий в стенах при методе инъецирования,,ГЭСНр 81-02-53-2020,,,,,,KSI140000279
,,,BBWC,,,Сверление отверстий в стенах при методе инъецирования,,ГЭСНр 81-02-53-2020,,,,,,KSI140000280
,,,BBWD,,,Сушка стен до инъецирования раствора,,ГЭСНр 81-02-53-2020,,,,,,KSI140000281
,,,BBWE,,,Инъецирование раствора в кладку стен,,ГЭСНр 81-02-53-2020,,,,,,KSI140000282
,,,BBWF,,,Сушка стен после инъецирования раствора,,ГЭСНр 81-02-53-2020,,,,,,KSI140000283
,,BBX,,,,Устройство металлических перемычек в стенах существующих зданий,,ГЭСНр 81-02-53-2020,По виду работ,,ГЭСНр 53-25 ,,,KSI140000284
,,,BBXA,,,"Пробивка гнезд, борозд, отверстий при устройстве металлических перемычек в стенах существующих зданий",,ГЭСНр 81-02-53-2020,,,,,,KSI140000285
,,,BBXB,,,Заготовка металлических элементов при устройстве металлических перемычек в стенах существующих зданий,,ГЭСНр 81-02-53-2020,,,,,,KSI140000286
,,,BBXC,,,Установка металлических элементов при устройстве металлических перемычек в стенах существующих зданий,,ГЭСНр 81-02-53-2020,,,,,,KSI140000287
,,,BBXD,,,Заделка гнезд и борозд при устройстве металлических перемычек в стенах существующих зданий,,ГЭСНр 81-02-53-2020,,,,,,KSI140000288
,BC,,,,,Капитальный ремонт перекрытий,,ГЭСНр 81-02-54-2020,По виду работ,,,,,KSI140000289
,,BCA,,,,Разборка перекрытий по стальным балкам с междубалочным заполнением из бетонных сводиков,,ГЭСНр 81-02-54-2020,По виду работ,, ГЭСНр 54-1,,,KSI140000290
,,,BCAA,,,Сборка инвентарных подмостей при разборке перекрытий по стальным балкам,,ГЭСНр 81-02-54-2020,,,,,,KSI140000291
,,,BCAB,,,Разборка монолитных перекрытий при разборке перекрытий по стальным балкам,,ГЭСНр 81-02-54-2020,,,,,,KSI140000292
,,,BCAC,,,Непосредственная разборка стальных балок перекрытий,,ГЭСНр 81-02-54-2020,,,,,,KSI140000293
,,,BCAD,,,Перестановка подмостей при разборке перекрытий по стальным балкам,,ГЭСНр 81-02-54-2020,,,,,,KSI140000294
,,,BCAE,,,Разборка подмостей при разборке перекрытий по стальным балкам,,ГЭСНр 81-02-54-2020,,,,,,KSI140000295
,,BCB,,,,Разборка стальных балок перекрытий,,ГЭСНр 81-02-54-2020,По виду работ,,ГЭСНр 54-2 ,,,KSI140000296
,,,BCBA,,,Высвобождение концов балки из кирпичной кладки,,ГЭСНр 81-02-54-2020,,,,,,KSI140000297
,,,BCBB,,,Строповка балки и выдвижение ее из гнезд,,ГЭСНр 81-02-54-2020,,,,,,KSI140000298
,,,BCBC,,,Перестроповка балки,,ГЭСНр 81-02-54-2020,,,,,,KSI140000299
