Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код соответствующего ОКС (группы ОКС) по классификатору ОКС ГГЭ,Код соответствующего ОКС по классификатору МССК,"Код соответствующего ОКС по КТИМ ОАО ""РЖД""",Примечания,Синонимы
,,BEE,,,Здание (сооружение) объектов термического воздействия на пласт,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Очистное сооружение по подготовке воды на нужды парогенераторной и промывки фильтров при добыче нефти и газа
Очистное сооружение хозбытовых и производственных сточных вод при добыче нефти и газа
Сооружение внутрипластового горения при добыче нефти и газа","08.06.001.003
08.06.002.010
12.01.002.005
12.01.002.004",,,,
,,BEF,,,Здание (сооружение) объектов производственных баз при добыче нефти и газа,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,08.08.003.,,,,
,,,BEFA,,База производственного обслуживания нефтегазодобывающих предприятий и управлений буровых работ,," Приказ Минстроя России от 02.11.2022 N 928/пр 
СП 18.13330.2019",,,08.08.003.001,,,,
,,,BEFB,,База материально-технического снабжения нефтяной промышленности,," Приказ Минстроя России от 02.11.2022 N 928/пр 
СП 18.13330.2019",,,08.08.003.001,,,,
,,,BEFC,,Геофизическая база нефтяной промышленности,," Приказ Минстроя России от 02.11.2022 N 928/пр 
СП 18.13330.2019",,,08.08.003.002,,,,
,BF,,,,Объекты добычи угля и антрацита,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,08.01.,,,,
,,BFA,,,Здание (сооружение) объектов добычи угля,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Сооружение главного ствола шахты добычи угля и антрацита
Сооружение спуска и подъёма людей в шахту добычи угля и антрацита
Сооружение угольного разреза","08.01.002.001
04.05.003.003
08.01.001.002",,,,
,,BFB,,,Здание (сооружение) вспомогательных объектов при добыче и обогащении угля и антрацита,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание административно-бытового комплекса разреза
Здание мастерской по ремонту горных механизмов и оборудования шахты добычи угля и антрацита
Здание обеспечения и работы инженерно-технических служб шахты добычи угля и антрацита","08.08.001.001
08.08.001.003
08.08.003.001",,,,
,BG,,,,Вспомогательные объекты добывающей промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,08.08.,,,,
,,BGA,,,Здание (сооружение) объектов геологоразведки,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание геологической лаборатории
Здание стационарной геологической и геофизической разведки","08.08.001.002 
08.08.001.003 ",,,,
,,BGB,,,Здание (сооружение) производственно-технических баз,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,Здание производственно-технической базы геологической организации,08.08.001.003,,,,
