Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Примечания
,,ADS,,,Вышка телескопическая на автомобиле,Приспособление для выполнения работ на высоте,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,"ТО 16 12 10 01
ТО 16 12 10 02
ТО 16 12 10 03
ТО 16 12 10 04
ТО 16 12 10 05
ТО 16 12 10 06
ТО 16 12 10 07",Определение синтезировано
,,ADT,,,Конвейер,Машина для непрерывного транспортирования грузов,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.06.02,ТО 16 18,ГОСТ 18501-73 (СТ СЭВ 3512-81)
,,,,ADT010,Транспортер,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"91.14.05-041
91.14.05-042
","ТО 16 20
ТО 40 20 30 03",
,,ADU,,,Леса инвентарные,"Многоярусное средство подмащивания, предназначенное для организации рабочих мест на разных горизонтах.","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,ТО 16 32 10,ГОСТ Р 58752-2019
,,ADW,,,Натяжная машина для протяжки троса,Машина для протяжки троса,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,Определение синтезировано
,,ADX,,,Рольганги приводные,"Конвейер, роликами которого, закреплёнными на небольшом расстоянии друг от друга, перемещаются грузы (штучные или в таре)",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.21.22-351,,Определение синтезировано
,,ADY,,,Тренога перегрузочная,"Устройство для подъема, удержания, и опускания груза выше или ниже плоскости основания треноги при строительно-монтажных, ремонтных и погрузочно-разгрузочных работах",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,Определение синтезировано
,,ADZ,,,Конвейер роликовый,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,ТО 16 18 10,
,AE,,,,Машины для дорожного и аэродромного строительства,"Группа машин предназначенных для проведения строительных работ, а также для эксплуатации и содержания дорог и аэродромов","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Назначение (функция) машины,,91.08,ТО 18,Определение синтезировано
,,AEA,,,Асфальтоукладчик,"Самоходная дорожная машина на колесном или гусеничном ходу, предназначенная для приемки асфальтобетонной смеси из транспортных средств, распределения смеси по ширине укладываемой полосы равномерным слоем заданной толщины на подготовленное и уплотненное основание, разравнивания и предварительного уплотнения уложенного слоя, отделки поверхности покрытия.","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.08.01,ТО 18 20,СТО НОСТРОЙ 2.25.47-2011 
,,AEB,,,Гудронатор,"Машина, используемая для автоматического или ручного распределения пленки из вяжущих материалов (битума / битумной эмульсии) на поверхность дороги с заданной установленной скоростью","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Гудранатор ручной
Автогудранатор",91.08.02,"ТО 18 35 10
ТО 18 35 20",ГОСТ EN 13020-2012
,,AEC,,,Каток,"Самоходная или прицепная машина с уплотняющим устройством, состоящим из одного или более металлических цилиндрических вальцов (барабанов) или резиновых шин, предназначенная для уплотнения материалов, например щебня, грунта, асфальта или гравия, путем укатывания или вибрационного воздействия уплотняющего устройства.","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Каток самоходный вибрационный
Каток дорожный самоходный
Каток дорожный самоходный на пневмоколесном ходу
Каток прицепной пневмоколесный",91.08.03,"ТО 18 10 10
ТО 18 10 20
ТО 18 10 30
ТО 18 10 40 01
ТО 18 10 40 02",ГОСТ Р ИСО 6165-2010 
