Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Примечания,Синонимы,УИН
,,,,AEE090,Профилировщик основания со скользящими формами в составе высокопроизводительного бетоноукладочного комплекта,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.08.06,ТО 18 25 10 04,,,KSI180000101
,,,,AEE100,Распределитель цементобетона со скользящими формами в составе высокопроизводительного бетоноукладочного комплекта,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.08.05,ТО 18 25 10 03,,,KSI180000102
,,,,AEE110,Финишер трубчатый в составе высокопроизводительного бетоноукладочного комплекта,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.08.05,ТО 18 25 10 05,,,KSI180000103
,,,,AEE120,Пневмобетономашина для возведения набрызг-бетонной крепи для укладки бетонной смеси за опалубку и тампонажа закрепного пространства,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.08.05,,,,KSI180000104
,,,,AEE130,Пневмобетоноукладчик,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.08.05,ТО 18 25 10 07,,,KSI180000105
,,,,AEE140,Цементоукладчик для заделки швов,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.08.05,ТО 20 50 10 05,,,KSI180000106
,,,,AEE150,Бетоноукладчик для устройства барьерных ограждений,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.08.05,,,,KSI180000107
,,,,AEE160,Машина на рельс-формах для нанесения пленкообразующих материалов в составе бетоноукладочного комплекта,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.08.05,ТО 18 30 10 05,,,KSI180000108
,,AEF,,,Нарезчик швов,"Машина для нарезки и разделки швов, трещин","Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.08.06,ТО 18 40,Определение синтезировано,,KSI180000109
,,,,AEF010,Нарезчик швов обыкновенный,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.08.06,,,,KSI180000110
,,,,AEF020,Станок для разделки трещин,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.08.06,,,,KSI180000111
,,,,AEF030,Машина для разделки швов и трещин,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.08.11,,,,KSI180000112
,,AEG,,,Распределитель,Машина для механизации распределения дорожно-строительных материалов,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.08.07,ТО 18 25,Определение синтезировано,,KSI180000113
,,,,AEG010,Битумощебнераспределитель,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.08.07,,,,KSI180000114
,,,,AEG020,Распределитель каменной мелочи,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.08.07,,,,KSI180000115
,,,,AEG030,Распределитель минеральных вяжущих,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.08.07,,,,KSI180000116
,,,,AEG040,Распределитель цемента,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.08.07,ТО 18 25 10 02,,,KSI180000117
,,,,AEG050,Распределитель щебня и гравия,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.08.07,ТО 18 25 10 01,,,KSI180000118
,,,,AEG060,Распределитель щебня,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.08.07,,,,KSI180000119
,,,,AEG070,Установка для приготовления и распределения литой органо-минеральной смеси,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.08.07,ТО 18 30 10 04,,,KSI180000120
,,,,AEG080,Укладчик (отсыпщик) обочин на базе фронтального погрузчика,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,,,KSI180000121
,,AEH,,,Смеситель,"Машина, содержащая емкость с горизонтальным или вертикальным смесителем (перемешивающий вал или лопасти смесителя) для подготовки, транспортирования, подогрева (свыше 100 °С), смешивания и выгрузки различных смесей",Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.08.08,,Определение синтезировано,,KSI180000122
,,,,AEH010,Смеситель-укладчик литых эмульсионно-минеральных смесей,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.08.08,,,,KSI180000123
