Класс,Подкласс 1,Подкласс 2,Тип (%%),Наименование компонента,Определение компонента,Источник,Критерии определения подклассов,IFC-entity,IFC-Predefined Type,КСР,МССК,ПСК,Примечание,Синонимы,УИН
B__,,,,объект сбора и представления информации,объект для сбора и представления информации,ISO 81346-2:2019,Вид количества,,,,,,,,KSI060000002
,BA_,,,объект для измерения электрического потенциала,объект для измерения электрического потенциала,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,,KSI060000003
,,BAA,,измерительный трансформатор напряжения,"объект для измерения электрического потенциала со скалярным выходом
-
Измерительный трансформатор, в котором, при рабочих условиях применения, вторичное напряжение практически пропорционально первичному и отличается от него углом фазового сдвига, который приблизительно равен нулю для соответствующего направления соединений",ГОСТ IEC 61869-3-2012,,IfcTransformer,VOLTAGE,,,,,,KSI060000004
,,BAB,,реле напряжения,"объект индикации наличия электрического потенциала
-
Измерительное реле, характеристической величиной которого является напряжение.",ГОСТ IEC 60050-447-2014,,IfcFlowInstrument, ,"89.1.62.01-0822
,,BWA,,датчик веса,объект для измерения веса (скалярное значение),Большая строительная энциклопедия stroi.gov.ru,,IfcSensor, ,,ЭЛ 40 55 20 10,,,,KSI060000085
,,BWB,,реле весовой нагрузки,объект для измерения веса с логическим выходом,,,IfcSensor, ,,,,,,KSI060000086
,,BWC,,датчик усилия,объект для измерения усилий (скалярное значений),Большая строительная энциклопедия stroi.gov.ru,,IfcSensor, ,,ЭЛ 40 55 20 10,,,,KSI060000087
,,BWD,,реле усилия,объект индикации наличия усилия,,,IfcSensor, ,,,,,,KSI060000088
,,BWE,,датчик крутящего момента,объект для измерения крутящего момента (скалярное значение),Большая строительная энциклопедия stroi.gov.ru,,IfcSensor, ,,ЭЛ 40 55 20 10,,,,KSI060000089
,,BWF,,реле крутящего момента,объект индикации крутящего момента,,,IfcSensor, ,,ЭЛ 40 55 20 10,,,,KSI060000090
,BX_,,,объект аудиовизуального восприятия,"объект измерения, чувствительный к звуку и/ или визуальному проявлению",ISO 81346-2:2019,Вид выходного сигнала,,,,,,,,KSI060000091
,,BXA,,акустический приемник,аудио чувствительный объект воспринимающий звуковые волны (скалярное значение),,,IfcSensor,,,,,,,KSI060000092
,,BXB,,акустический детектор,аудио чувствительный объект индикации наличия звука,,,IfcSensor,,,"ЭЛ 40 55 20 17
ЭЛ 40 55 20 10",,,,KSI060000093
,,BXC,,видео датчик,аудио-визуально чувствительный объект для реагирования на визуальное проявление (скалярное значение),,,IfcSensor,,,ЭЛ 40 55 20 10,,,,KSI060000094
,,,BXC010,видеосенсор,"Датчик внешней информации, преобразующий оптические характеристики внешней среды в видеосигналы, пригодные для обработки в системе компьютерного зрения",ГОСТ Р 71199-2023 ,,IfcSensor,,,,,,,KSI060001298
,,BXD,,детектор изображения,аудио-визуально чувствительный объект для реагирования на визуальное проявление,,,IfcSensor,,,ЭЛ 40 55 20 17,,,,KSI060000095
,,BXE,,видеокамера (камера),"устройство, предназначенное для телевизионного анализа передаваемой сцены при помощи оптоэлектронного преобразования и передачи телевизионного сигнала","Методическое пособие ""Планирование обеспечения транспортной безопасности на объектах транспортной инфраструктуры на стадии проектирования и строительства",,,,,,,,,KSI060001029
,,,BXE010,IP-видеокамера,"Сетевая IP-камера, подключаемая к автоматизированной системе управления зданием (АСУЗ) напрямую или через одну из систем умный дом (систему умного видеонаблюдения), с соответствующей степенью защиты от внешних воздействий не менее IP65, ИК подсветкой (опционально), разрешением не менее 2 Мп, питание PoE и антивандальным исполнением цилиндрического или купольного корпуса",ГОСТ Р 71870-2024,,,,,,,,,KSI060001299
,BY_,,,объект для считывания информации,"объект, для считывания хранимой информации",ISO 81346-2:2019,Вид метода,,,,,,,,KSI060000096
,,BYA,,устройство чтения микросхем,объект для считывания информации путем электрического соединения,,,IfcSensor,,,,,,,KSI060000097
,,BYB,,электромагнитное считывающее устройство,объект для считывания информации путем электромагнитного поля,,,IfcSensor,,,,,,,KSI060000098
,,BYC,,оптическое считывающее устройство,объект для считывания информации при помощи светового луча,,,IfcSensor,,,,,,,KSI060000099
,BZ_,,,объект для подсчета некоторых событий или количеств,объект для измерения событий или количеств,ISO 81346-2:2019,Вид или количество измеряемых событий,,,,,,,,KSI060000100
,,BZA,,счетчик,"объект для измерения событий, регистрирующий некоторые события (скалярное значение)
-
Термин общего характера для обозначения установки (такой как счетчик Гейгера или сцинтилляционный счетчик), которая показывает или записывает число физических событий, регистрируемых на протяжении заданного интервала времени","ГОСТ Р МЭК 60050-881-2008
",,IfcSensor, ,,ЭЛ 40 55 20 14,,,,KSI060000101
,,BZB,,пороговый счетчик,объект индикации порогового значения некоторых событий,,,IfcSensor,,,ЭЛ 40 55 20 14,,,,KSI060000102
,,BZC,,детектор присутствия человека,объект индикации присутствия человека,,,IfcSensor,MOVEMENTSENSOR,,"ЭЛ 40 55 20 17
ЭЛ 40 55 20 10",,,,KSI060000103
,,BZD,,детектор предметов,объект индикации присутствия твердых веществ,,,IfcSensor,OBSTACLESENSOR,,ЭЛ 40 55 20 17,,,,KSI060000104
,,BZE,,датчик интенсивности,,СТО АВТОДОР 8.6-2016,,IfcSensor ,,,ЭЛ 40 55 20 10,,,,KSI060000105
C_,,,,объект для хранения и извлечения,объект для хранения и последующего извлечения,ISO 81346-2:2019,"Вид объекта хранения и
применяемый метод",,,,,,,,KSI060000106
,CA_,,,объект емкостного хранения,объект для хранения электрической энергии в электростатическом поле,ISO 81346-2:2019,Вид применяемого метода,,,,,,,,KSI060000107
,,CAA,,конденсатор,"емкостный объект для хранения электрического заряда
-
Устройство, основным свойством которого является электрическая емкость.",ГОСТ 31636.3-2012,,IfcElectricFlowStorageDevice,CAPACITOR,,ЭЛ 40 50 70 01,,,,KSI060000108
,CB_,,,объект индуктивного хранения,объект для хранения электрической энергии в электромагнитном поле,ISO 81346-2:2019,Вид применяемого метода,,,,,,,,KSI060000109
,,CBA,,индуктор,индуктивный объект для хранения индуктивного заряда,,,IfcElectricFlowStorageDevice,INDUCTOR,,ЭЛ 40 50 70 03,,,,KSI060000110
,CC_,,,объект электрохимического хранения,объект для хранения электрической энергии в электрохимическом веществе,ISO 81346-2:2019,Вид применяемого метода,,,,,,,,KSI060000111
,,CCA,,аккумуляторная батарея,"электрохимический объект для хранения путем обратимых реакций
-
Два или более аккумуляторов, соединенных вместе и используемых как источник электроэнергии.",ГОСТ Р МЭК 62485-2-2011,,IfcElectricFlowStorageDevice,BATTERY,,ЭЛ 40 50 70 06,,,,KSI060000112
,CF_,,,объект для хранения информации,объект для хранения информации,ISO 81346-2:2019,Вид применяемого метода,,,,,,,,KSI060000113
,,CFA,,носитель информации,"объект для хранения информации на переносном носителе
-
Материальный объект, в том числе физическое поле, в котором информация находит свое отображение в виде символов, образов, сигналов, технических решений и процессов, количественных характеристик физических величин.",ГОСТ Р 50922-2006,,IfcCommunicationsAppliance,,,,,,,KSI060000114
,CL_,,,открытый стационарный объект для хранения или размещения,объект в стационарном открытом корпусе для хранения веществ или размещения людей ,ISO 81346-2:2019,Вид применяемого метода,,,,,,,,KSI060000115
