Класс,Подкласс,"Тип 
(%%)",Наименование системы,Определение системы,Критерии определения подклассов,Источник,Примеры системы,IFC,МССК,ПСК,Примечание
,CH,,Конструкции трубопроводных траншей,Наземная строительная система для повторно заполняемых траншей,,ГОСТ 16504-81,"Конструктивные элементы траншеи
",IfcSystem,,,
,CI,,Не применяется,,,,,,,,
,CJ,,Опорные и грунто- удерживающие конструкции,"Наземная строительная система, воспринимающая вертикальную или горизонтальную нагрузку",По назначению,ГОСТ 16504-81,Шпунт,IfcSystem,,,
,,CJ10,Конструкции подпорной стены,"Сооружение, удерживающее грунт от обрушения в откосах насыпей и выемок",,ГОСТ 16504-81,Подпорная стена,,,,
,,CJ20,Конструкции плотины,"Водоподпорное сооружение, перегораживающее водоток и его долину для подъема уровня воды",,ГОСТ 16504-81,Плотина,,,,
,,CJ30,Конструкции набережных-стенок,"Причальное сооружение, включающее в свою конструкцию сплошную стенку и воспринимающее боковое давление грунта со стороны берега",,ГОСТ 16504-81,Набережная-стенка,,,,
,,CJ40,Конструкции причалов,"Удлиненная наземная строительная система, окруженная водой с трех сторон",,,"Причал
Пристань",,,,
,,CJ50,Наземные опорные конструкции,"Наземная строительная система, обеспечивающая вертикальную поддержку и крепление",,,Опора контактной сети,,,,
,CK,,Конструкции террасированных склонов и рамп,"Наземная строительная система, предназначенная для соединения пространств на различных уровнях",,ГОСТ 16504-81,Платообразный террасированный отвал,IfcSystem,,,
,CL,,Конструкции ландшафтных стен,"Наземная строительная система, предназначенная для разделения пространств",,ГОСТ 16504-81,Ландшафтная стена,IfcSystem,,,
,CK… CZ,,Зарезервировано,,,,,,,,
D_,,,Конструкции железнодорожных путей,"Техническая система, направляющая рельсовые транспортные средства",,,"Пути линии
Пути электродепо",,,,
,DA,,Конструкции балластных железнодорожных путей,Система железнодорожных путей с двумя рельсами на балласте,,ГОСТ 16504-81,,IfcSystem,,,
,DB,,Безбалластные конструкции железнодорожных путей,"Система железнодорожных путей с двумя рельсами, без балласта",,ГОСТ 16504-81,,IfcSystem,,,
,DC,,Монорельсовые конструкции,Система железнодорожных путей с одним рельсом,,ГОСТ 16504-81,,IfcSystem,,,
,DD… DZ,,Зарезервировано,,,,,,,,
H_,,,Система снабжения (обеспечения),"Техническая система, обеспечивающая потребление (передачу) ресурсов",,,,,,,
,HA,,Система воздухо- и газоснабжения,Система снабжения воздухом или газом,По типу среды,ГОСТ 16504-81,,IfcDistributionSystem,,,
,,HA10,Система снабжения газом,Инженерная система для подачи газа к потребителям,,,"Система медицинского газоснабжения
Система внутреннего газопотребления",,СС 50 10,,
,,HA20,Система снабжения воздухом,Инженерная система для подачи воздуха к потребителям,,,"Система подачи воздуха для горения/отвода продуктов сгорания
Система воздухоподачи",,,,
,HB,,Система снабжения жидкостью,Система снабжения жидкостью,,ГОСТ 16504-81,"Система водоснабжения
Внутренняя система водоснабжения
Система подачи жидкого топлива
Внутридомовая система горячего водоснабжения
Внутридомовая система холодного водоснабжения
Оросительная система
Система оборотного водоснабжения
Система циркуляционного водоснабжения
Система автоматического водяного орошения
Система автоматического полива игрового поля
Система водоснабжения прямоточная
Система маслоснабжения (турбоустановки)
Система перекачки нефтепродукта по разветвленному нефтепродуктопроводу из резервуара
Система снабжения маслом",IfcDistributionSystem,,,
,HC,,Система холодоснабжения,"Система снабжения холодом
-
Комплекс оборудования и устройств для производства холода (охлажденной воды) и подачи его в воздухоохладители приточных установок и кондиционеров",По типу исполнения,ГОСТ 16504-81,Система холодоснабжения,IfcDistributionSystem,СС 30 15,,
,,HC10,Система непосредственного холодоснабжения,Система снабжения холодом с непосредственным испарением хладагента в технологических аппаратах,,,,,,,
,,HC20,Система холодоснабжения с промежуточным теплоносителем (хладоносителем),Система снабжения холодом с применением промежуточного хладоносителя,,,,,,,
,HD,,Система снабжения теплом,Система снабжения теплом,По типу источника тепла,ГОСТ 16504-81,"Индивидуальная система теплоснабжения
Система отопления
Система централизованного теплоснабжения (СЦТ)
Система обогрева",IfcDistributionSystem,СС 30 10,,
,,HD10,Рециркуляционная система снабжения теплом,Система снабжения теплом с рециркуляцией теплоносителя,,,"Система централизованного теплоснабжения
Система внутреннего теплоснабжения здания
Система поквартирного теплоснабжения
Система водяного напольного отопления
Система центрального водяного отопления",,,,
