Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Примечания
,,EDB,,,Проведение исследования грунтов,,"СП 11-103-97
СБЦ",,,
,,EDC,,,Проведение геофизических исследований,,"СП 11-103-97
СБЦ",,,
,EE,,,,Проведение гидрометеорологических исследований,,"СП 11-103-97
СБЦ",По виду работ,,
,,EEA,,,Прогноз плановых деформаций водных объектов,,"СП 11-103-97
СБЦ",,,
,,EEB,,,Прогноз глубинных деформаций водных объектов,,"СП 11-103-97
СБЦ",,,
,,EEC,,,Проведение статистических расчётов ,,"СП 11-103-97
СБЦ",,,Для определение расходов уровней водотоков с применением специализированных компьютерных программ
,,EED,,,Изучение опасных гидрометеорологических процессов,,"СП 11-103-97
СБЦ",,,
,,EEE,,,Изучение опасных гидрометеорологических явлений,,"СП 11-103-97
СБЦ",,,
,,EEF,,,Проведение исследования микроклиматических условий,,"СП 11-103-97
СБЦ",,,
,,EEG,,,Проведение исследования условий рассеивания вредных веществ,,"СП 11-103-97
СБЦ",,,
,,EEH,,,Проведение исследования загрязнения атмосферного воздуха,,"СП 11-103-97
СБЦ",,,
,,EEJ,,,Проведение исследования особенностей гидравлического режима,,"СП 11-103-97
СБЦ",,,
,,EEK,,,Проведение исследования динамики прибрежной зоны морей,,"СП 11-103-97
СБЦ",,,
,,EEL,,,Проведение исследования водного баланса,,"СП 11-103-97
СБЦ",,,
,,EEM,,,Проведение исследования условий формирования стока на эталонных бассейнах и участках рек,,"СП 11-103-97
СБЦ",,,
,,EEN,,,Проведение исследования гидрофизических условий водных объектов,,"СП 11-103-97
СБЦ",,,
,,EEP,,,Проведение исследования ледотермических условий водных объектов,,"СП 11-103-97
СБЦ",,,
,,EEQ,,,Проведение исследования особенностей гидробиологического режима водных объектов,,"СП 11-103-97
СБЦ",,,
,,EER,,,Проведение исследования особенностей гидрохимического режима водных объектов,,"СП 11-103-97
СБЦ",,,
,,EES,,,Проведение исследования водно-эрозионных процессов,,"СП 11-103-97
СБЦ",,,
F,,,,,Проведение обследований,,СП 13-102-2004,По виду работ,,
,FA,,,,Подготовка к проведению обследования,,"СП 47.13330-2016
СП 305.1325800-2017
ГОСТ 31937-2011",,,
,FB,,,,Предварительное (визуальное) обследование,,"СП 47.13330-2016
СП 305.1325800-2017
ГОСТ 31937-2011",,,
,FC,,,,Проведение инженерно-геологического обследования,,СП 13-102-2004,По виду работ,,
,,FCA,,,Обследование грунтов оснований фундаментов существующих зданий и сооружений,,СП 13-102-2004,,,
,FD,,,,Проведение геотехнического обследования,,СП 13-102-2004,По виду работ,,
,,FDA,,,Обследование состояния грунтов основания зданий и сооружений,,СП 13-102-2004,,,
